회사명,회계년도,roa변동성
고려산업(주),Dec.12,2.4076336930687776
고려산업(주),Dec.13,1.1584616235911034
고려산업(주),Dec.14,1.3593012911051041
고려산업(주),Dec.15,1.5149367423537308
고려산업(주),Dec.16,1.522410369556558
고려산업(주),Dec.17,1.2926458653990796
고려산업(주),Dec.18,0.648408307575819
고려산업(주),Dec.19,1.157626882894487
고려산업(주),Dec.20,0.5154932912592972
고려산업(주),Dec.21,0.6850547423381644
금강철강(주),Dec.11,1.345523442134448
금강철강(주),Dec.12,0.9021640649017231
금강철강(주),Dec.13,0.8478993650978479
금강철강(주),Dec.14,0.8848352012286428
금강철강(주),Dec.15,1.0834666584625476
금강철강(주),Dec.16,0.705147738657178
금강철강(주),Dec.17,0.5021288015373452
금강철강(주),Dec.18,1.5078903585252241
금강철강(주),Dec.19,1.0805554127392056
금강철강(주),Dec.20,0.8732315462311974
금강철강(주),Dec.21,0.9683663218706688
대상홀딩스(주),Dec.11,0.6199193495931545
대상홀딩스(주),Dec.12,2.1300704213710873
대상홀딩스(주),Dec.13,2.3116228066014584
대상홀딩스(주),Dec.14,0.8951536181013872
대상홀딩스(주),Dec.15,1.1600143677271144
대상홀딩스(주),Dec.16,2.0105306098971325
대상홀딩스(주),Dec.17,1.1235805860432688
대상홀딩스(주),Dec.18,0.2064784088793176
대상홀딩스(주),Dec.19,0.43615746392023924
대상홀딩스(주),Dec.20,1.7635853632113572
대상홀딩스(주),Dec.21,2.058065434657833
대정화금(주),Dec.11,2.6852250060904272
대정화금(주),Dec.12,1.8785721528153603
대정화금(주),Dec.13,2.6637567456507725
대정화금(주),Dec.14,3.6597950762303615
대정화금(주),Dec.15,3.7516174289675814
대정화금(주),Dec.16,2.978137001549794
대정화금(주),Dec.17,0.4082074635933666
대정화금(주),Dec.18,0.5853488988059425
대정화금(주),Dec.19,0.9224062734681121
대정화금(주),Dec.20,2.0033305601755615
대정화금(주),Dec.21,2.0317808280750485
대한제당(주),Dec.11,0.5750072463311513
대한제당(주),Dec.12,0.45621632295801656
대한제당(주),Dec.13,0.5900282479113464
