,회사명,회계년도,시장가치대장부가치비율
0,노루페인트,2010,0.3027680914000162
1,노루페인트,2011,0.2653601263253582
2,노루페인트,2012,0.4094866744271059
3,노루페인트,2013,0.4435506652604635
4,노루페인트,2014,0.7509537953356251
5,노루페인트,2015,0.8229731865260866
6,노루페인트,2016,0.6190662230995634
7,노루페인트,2017,0.5809940105374308
8,노루페인트,2018,0.535155245415498
9,노루페인트,2019,0.5059958207601133
10,노루페인트,2020,0.5940702206526965
11,노루페인트,2021,0.8643697272939035
12,대동,2010,0.5180851144016633
13,대동,2011,0.3711880257560845
14,대동,2012,0.5829057558615383
15,대동,2013,0.6301179786420098
16,대동,2014,1.0144341658796348
17,대동,2015,0.9333618120597943
18,대동,2016,0.7885564224949003
19,대동,2017,1.040626190581121
20,대동,2018,0.5651034465306684
21,대동,2019,0.6103665159094409
22,대동,2020,0.4929244444418452
23,대동,2021,0.62102127400024
24,삼천리,2010,0.39950241356088256
25,삼천리,2011,0.32488295175088533
26,삼천리,2012,0.4338029038776696
27,삼천리,2013,0.4308694564724647
28,삼천리,2014,0.4275944528812404
29,삼천리,2015,0.30809806366133474
30,삼천리,2016,0.3019722148125921
31,삼천리,2017,0.3379645873194827
32,삼천리,2018,0.26967904474315774
33,삼천리,2019,0.24598857085482478
34,삼천리,2020,0.23732927657649022
35,삼천리,2021,0.25216723859864704
36,NI스틸,2010,1.2714942259507336
37,NI스틸,2011,0.9044535875611556
38,NI스틸,2012,0.7774562467247449
39,NI스틸,2013,0.7706426044025587
40,NI스틸,2014,0.9185525548084358
41,NI스틸,2015,0.9651275772438273
42,NI스틸,2016,1.0323217213839306
43,NI스틸,2017,0.8540021601178709
44,NI스틸,2018,0.6107520155171506
45,NI스틸,2019,0.570017795961068
46,NI스틸,2020,0.6040788118661018
47,NI스틸,2021,0.6804604011487464
48,LS,2010,1.2589941923922872
49,LS,2011,0.8783705207482373
50,LS,2012,1.0505698720339565
51,LS,2013,0.86626582028022
52,LS,2014,0.5764582072250642
53,LS,2015,0.4398956252177437
54,LS,2016,0.586581486922292
55,LS,2017,0.6427393443480511
56,LS,2018,0.36265578116695696
57,LS,2019,0.36034694596153705
58,LS,2020,0.5168217490087101
59,LS,2021,0.36983473969410646
60,LF,2010,1.236030535655477
61,LF,2011,1.4319850562270842
62,LF,2012,1.0463056034327647
63,LF,2013,1.0769879912474851
64,LF,2014,0.8894287764755743
65,LF,2015,0.7758594155475435
66,LF,2016,0.5988698396764227
67,LF,2017,0.8295056075991898
68,LF,2018,0.613990619761167
69,LF,2019,0.3887349098737004
70,LF,2020,0.30388979037733477
71,LF,2021,0.3366259116927582
72,유니드,2010,1.1786539705217705
73,유니드,2011,0.9563011568021406
74,유니드,2012,0.7197315472900132
75,유니드,2013,1.0646692374994875
76,유니드,2014,0.9652517845798761
77,유니드,2015,0.6690939011158678
78,유니드,2016,0.6290160053457119
79,유니드,2017,0.6371521259158176
80,유니드,2018,0.5696642680231391
81,유니드,2019,0.5863359797490353
82,유니드,2020,0.5490800106403866
83,유니드,2021,0.8996449548590367
84,유한양행,2010,11.598527918218808
85,유한양행,2011,8.369931681176832
86,유한양행,2012,10.67283633418989
87,유한양행,2013,11.160198270220066
88,유한양행,2014,9.737894030090946
89,유한양행,2015,14.643511890230284
90,유한양행,2016,9.769933620136774
91,유한양행,2017,9.991435469011533
92,유한양행,2018,9.073215250580471
93,유한양행,2019,10.504084482890995
94,유한양행,2020,2.980339513067788
95,유한양행,2021,2.350573994481363
96,한섬,2010,0.7216050735380327
97,한섬,2011,1.0388426544901919
98,한섬,2012,0.9551634306372572
99,한섬,2013,0.9770629749496688
100,한섬,2014,0.972158920844392
101,한섬,2015,1.2028099649421655
102,한섬,2016,0.9750230811821211
103,한섬,2017,0.8369943300197965
104,한섬,2018,0.8979408660977888
105,한섬,2019,0.7432196619323873
106,한섬,2020,0.66166622193251
107,한섬,2021,0.7068799881727792
108,한화,2010,0.6858798675987922
109,한화,2011,0.49142931540875995
110,한화,2012,0.47846421572973474
111,한화,2013,0.2727401622882756
112,한화,2014,0.1933865292696327
113,한화,2015,0.2164711376414496
114,한화,2016,0.18615958623393208
115,한화,2017,0.19626431956739404
116,한화,2018,0.13956036375510822
117,한화,2019,0.10325341206217459
118,한화,2020,0.1153371695014724
119,한화,2021,0.11244257334563128
120,현대백화점,2010,1.3341658124027456
121,현대백화점,2011,1.3188380868341325
122,현대백화점,2012,1.1496823088273527
123,현대백화점,2013,1.062516870250246
124,현대백화점,2014,0.7597047641585833
125,현대백화점,2015,0.7344324014369196
126,현대백화점,2016,0.5917667541643964
127,현대백화점,2017,0.52960122466339
128,현대백화점,2018,0.43809073806402393
129,현대백화점,2019,0.39056657558741126
130,현대백화점,2020,0.33204242423907016
131,현대백화점,2021,0.3363276710896251
132,고려산업,2010,1.6238615849995313
133,고려산업,2011,1.519091003550741
134,고려산업,2012,2.205353478762027
135,고려산업,2013,0.4310469979358984
136,고려산업,2014,0.6356262919528103
137,고려산업,2015,0.645944217464393
138,고려산업,2016,1.9565444724525323
139,고려산업,2017,0.7558413475770638
140,고려산업,2018,0.5857646110346415
141,고려산업,2019,0.8744922291568019
142,고려산업,2020,1.1906090100721924
143,고려산업,2021,0.6792710074176198
144,금강철강,2010,0.583658377396277
145,금강철강,2011,0.5969495634258368
146,금강철강,2012,0.4881320034505123
147,금강철강,2013,0.4973887766498184
148,금강철강,2014,0.5246219873682963
149,금강철강,2015,0.7687941767623192
150,금강철강,2016,0.9195111119023227
151,금강철강,2017,0.640155093287698
