회사명,회계년도,유통주식수 (발행주식의 총수 - 자기주식수)(주)
대정화금(주),18-Dec,7100391
대정화금(주),19-Dec,7100391
대정화금(주),20-Dec,7118191
대정화금(주),21-Dec,7173191
대한제당(주),10-Dec,3444460
대한제당(주),11-Dec,6656410
대한제당(주),12-Dec,6656410
대한제당(주),13-Dec,6656410
대한제당(주),14-Dec,7987692
대한제당(주),15-Dec,7987692
대한제당(주),16-Dec,8257692
대한제당(주),17-Dec,8257692
대한제당(주),18-Dec,8257692
대한제당(주),19-Dec,8397692
대한제당(주),20-Dec,8284314
대한제당(주),21-Dec,89696580
대한제분(주),10-Dec,1642744
대한제분(주),11-Dec,1642744
대한제분(주),12-Dec,1642744
대한제분(주),13-Dec,1642744
대한제분(주),14-Dec,1642744
대한제분(주),15-Dec,1642744
대한제분(주),16-Dec,1642744
대한제분(주),17-Dec,1645224
대한제분(주),18-Dec,1645224
대한제분(주),19-Dec,1645224
대한제분(주),20-Dec,1645224
대한제분(주),21-Dec,1645224
세방전지(주),10-Dec,14000000
세방전지(주),11-Dec,14000000
세방전지(주),12-Dec,14000000
세방전지(주),13-Dec,13942816
세방전지(주),14-Dec,13894372
세방전지(주),15-Dec,13743177
세방전지(주),16-Dec,13743177
세방전지(주),17-Dec,13743177
세방전지(주),18-Dec,13744377
세방전지(주),19-Dec,13744377
세방전지(주),20-Dec,13402030
세방전지(주),21-Dec,13406110
에스케이텔레콤(주),10-Dec,71094999
에스케이텔레콤(주),11-Dec,69694999
에스케이텔레콤(주),12-Dec,69694999
에스케이텔레콤(주),13-Dec,70936336
에스케이텔레콤(주),14-Dec,70936336
에스케이텔레콤(주),15-Dec,70609160
에스케이텔레콤(주),16-Dec,70609160
에스케이텔레콤(주),17-Dec,70609160
에스케이텔레콤(주),18-Dec,71869828
에스케이텔레콤(주),19-Dec,73136448
에스케이텔레콤(주),20-Dec,71327153
에스케이텔레콤(주),21-Dec,217582152
태경산업(주),10-Dec,29228750
태경산업(주),11-Dec,29228750
태경산업(주),12-Dec,29228750
태경산업(주),13-Dec,29228750
태경산업(주),14-Dec,29228750
태경산업(주),15-Dec,29228750
태경산업(주),16-Dec,29228750
태경산업(주),17-Dec,29228750
태경산업(주),18-Dec,28935581
태경산업(주),19-Dec,28883076
태경산업(주),20-Dec,28883076
태경산업(주),21-Dec,28514997
태경케미컬(주),10-Dec,11600000
태경케미컬(주),11-Dec,11600000
태경케미컬(주),12-Dec,11600000
태경케미컬(주),13-Dec,11600000
태경케미컬(주),14-Dec,11600000
태경케미컬(주),15-Dec,11600000
태경케미컬(주),16-Dec,11600000
태경케미컬(주),17-Dec,11600000
태경케미컬(주),18-Dec,11523426
태경케미컬(주),19-Dec,11435439
태경케미컬(주),20-Dec,11333899
태경케미컬(주),21-Dec,11333899
