,회사명,회계년도,자산총계,자본총계,부채총계,매출액증가율,영업활동현금흐름,보통주총배당금,상장일,종가,최대주주지분율,외국인지분율,소액주주주식수,우선주자본금,발행주식 보통주,ROA
38,NI스틸,2012,1.42242E+11,62905405000,79336906000,-1.81,22687495000,1421000000,1975-06-16,1710,57.9,0.58,11136884,,28426850,4.94
39,NI스틸,2013,1.53992E+11,68842829000,85149143000,15.18,25757767000,1421334000,1975-06-16,1855,57.9,0.23,10246278,,28426850,5.03
40,NI스틸,2014,1.69174E+11,72547044000,96626779000,4.33,20432319000,1421334000,1975-06-16,2330,57.9,1.58,10118650,,28426850,3.28
41,NI스틸,2015,1.76628E+11,78380632000,98247212000,-6.34,30478729000,1421342000,1975-06-16,2645,57.9,1.57,11967446,,28426850,4.11
42,NI스틸,2016,2.07263E+11,86854093000,1.20409E+11,-3.57,25384882000,1421342000,1975-06-16,3135,58.46,1.9,9390053,,28426850,5.33
43,NI스틸,2017,2.5133E+11,98124275000,1.53206E+11,31.73,24347506000,1421342000,1975-06-16,2930,58.45,1.67,10488309,,28426850,4.79
44,NI스틸,2018,2.43909E+11,1.06299E+11,1.3761E+11,0.09,31426601000,1430006000,1975-06-16,2270,58.11,1.31,11981730,,28600117,4.12
45,NI스틸,2019,2.58675E+11,1.10885E+11,1.4779E+11,-1.66,14348218000,1430006000,1975-06-16,2210,58.11,2.53,11981730,,28600117,2.55
46,NI스틸,2020,2.87376E+11,1.2144E+11,1.65936E+11,29.92,34156335000,1430006000,1975-06-16,2565,59.16,2.42,11373082,,28600117,4.44
47,NI스틸,2021,3.41057E+11,1.41853E+11,1.99204E+11,28.89,28000901000,2145009000,1975-06-16,3375,58.96,4.08,10891995,,28600117,7.02
48,LS,2010,8.81687E+12,2.72384E+12,6.09303E+12,-22.93,-2.00966E+11,27767071000,1977-06-30,106500,33.43,14.57,13852327,0,32200000,3.38
49,LS,2011,9.95783E+12,2.78607E+12,7.17176E+12,19.23,-1.3409E+11,34709000000,1977-06-30,76000,33.45,12.94,14228930,0,32200000,1.29
50,LS,2012,1.00882E+13,2.8903E+12,7.19793E+12,-3.81,3.63721E+11,34709000000,1977-06-30,94300,33.43,12.54,14295136,0,32200000,2.13
