회사명,회계년도,주식수익률
LF,2011,0.2886762360446571
LF,2012,-0.22524752475247523
LF,2013,0.07667731629392982
LF,2014,-0.11275964391691395
LF,2015,-0.09698996655518399
LF,2016,-0.20185185185185184
LF,2017,0.4524361948955917
LF,2018,-0.20607028753993606
LF,2019,-0.25553319919517103
LF,2020,-0.20540540540540542
LF,2021,0.17346938775510212
LS,2011,-0.2863849765258216
LS,2012,0.24078947368421044
LS,2013,-0.1420996818663839
LS,2014,-0.3288009888751545
LS,2015,-0.25690607734806625
LS,2016,0.46964064436183395
LS,2017,0.22259696458684664
LS,2018,-0.3227586206896552
LS,2019,-0.02647657841140527
LS,2020,0.493723849372385
LS,2021,-0.24229691876750703
NI스틸,2011,-0.227176220806794
NI스틸,2012,-0.06043956043956045
NI스틸,2013,0.08479532163742687
NI스틸,2014,0.2560646900269541
NI스틸,2015,0.13519313304721026
NI스틸,2016,0.18525519848771266
NI스틸,2017,-0.06539074960127589
NI스틸,2018,-0.22525597269624575
NI스틸,2019,-0.026431718061673992
NI스틸,2020,0.16063348416289602
NI스틸,2021,0.3157894736842106
SK텔레콤,2011,-0.18443293803240357
SK텔레콤,2012,0.07774227902023423
SK텔레콤,2013,0.5081711766494375
SK텔레콤,2014,0.1652344832799939
SK텔레콤,2015,-0.1958910034602076
SK텔레콤,2016,0.03942768006024422
SK텔레콤,2017,0.19196336162285244
SK텔레콤,2018,0.009377645603143359
SK텔레콤,2019,-0.11688423406954984
SK텔레콤,2020,0.0
SK텔레콤,2021,0.40999415546464046
고려산업,2011,0.01183431952662728
고려산업,2012,0.6067251461988303
고려산업,2013,0.046405823475887065
고려산업,2014,0.6869565217391305
고려산업,2015,0.05927835051546393
고려산업,2016,2.2457420924574207
고려산업,2017,-0.5967016491754122
고려산업,2018,-0.19330855018587356
고려산업,2019,0.5483870967741935
고려산업,2020,0.45833333333333326
고려산업,2021,-0.4061224489795918
금강철강,2011,0.12553191489361692
금강철강,2012,-0.1058601134215501
금강철강,2013,0.07822410147991543
금강철강,2014,0.0980392156862746
금강철강,2015,0.5357142857142858
금강철강,2016,0.2441860465116279
금강철강,2017,-0.3130841121495327
금강철강,2018,0.03673469387755102
금강철강,2019,-0.06692913385826771
금강철강,2020,-0.016877637130801704
금강철강,2021,0.45922746781115875
노루페인트,2011,-0.10136157337367624
노루페인트,2012,0.5336700336700337
노루페인트,2013,0.12184412733260164
노루페인트,2014,0.7710371819960862
노루페인트,2015,0.2320441988950277
노루페인트,2016,-0.23318385650224216
노루페인트,2017,0.015204678362572999
노루페인트,2018,-0.0518433179723502
노루페인트,2019,-0.009720534629404587
노루페인트,2020,0.21595092024539886
노루페인트,2021,0.503531786074672
대동,2011,-0.2679282868525896
대동,2012,0.5401360544217686
대동,2013,0.060070671378091856
대동,2014,0.6416666666666666
대동,2015,-0.06903553299492382
대동,2016,-0.22028353326063255
대동,2017,0.3426573426573427
