회사명,회계년도,주식수익률
태경산업,2017,0.08108108108108114
태경산업,2018,0.07307692307692304
태경산업,2019,0.023297491039426577
태경산업,2020,0.031523642732049106
태경산업,2021,0.13752122241086595
태경케미컬,2011,-0.2642777155655095
태경케미컬,2012,0.31202435312024357
태경케미컬,2013,0.2807424593967518
태경케미컬,2014,0.0036231884057971175
태경케미컬,2015,0.1606498194945849
태경케미컬,2016,-0.18351477449455678
태경케미컬,2017,-0.13047619047619052
태경케미컬,2018,0.016429353778751432
태경케미컬,2019,0.13146551724137923
태경케미컬,2020,1.6952380952380954
태경케미컬,2021,-0.12720848056537104
한섬,2011,0.6229508196721312
한섬,2012,-0.008417508417508435
한섬,2013,0.07130730050933787
한섬,2014,0.031695721077654504
한섬,2015,0.24731182795698925
한섬,2016,-0.14162561576354682
한섬,2017,-0.09756097560975607
한섬,2018,0.15262321144674096
한섬,2019,-0.1296551724137931
한섬,2020,-0.04120443740095092
한섬,2021,0.1768595041322314
한화,2011,-0.29014506152457686
한화,2012,0.03166087819399643
한화,2013,0.1462021701884637
한화,2014,-0.20281645818582328
한화,2015,0.26083094838646015
한화,2016,-0.08552494260070964
한화,2017,0.18402282453637664
한화,2018,-0.24457831325301205
한화,2019,-0.20255183413078148
한화,2020,0.1319999999999999
한화,2021,0.10954063604240272
현대백화점,2011,0.1684587813620071
현대백화점,2012,-0.024539877300613466
현대백화점,2013,0.012578616352201255
현대백화점,2014,-0.2360248447204969
현대백화점,2015,0.028455284552845628
현대백화점,2016,-0.13833992094861658
현대백화점,2017,-0.041284403669724745
현대백화점,2018,-0.13492822966507179
현대백화점,2019,-0.08075221238938057
현대백화점,2020,-0.1407942238267148
현대백화점,2021,0.051820728291316565
