,roa,cashflow,g,lvrg,주식수익률,시장가치대장부가치비율,주식수익률변동성,roa변동성,외국인지분율,dps,시가배당률,dy변화,price
40,4.12,0.128845598,0.09,0.564185823,-0.225255973,0.610751424,0.044506688,0.611337332,1.31,50,2.20,0.166202175,2270
41,2.55,0.055468128,-1.66,0.571334686,-0.026431718,0.57001631,0.039978614,0.606162794,2.53,50,2.26,0.018576386,2210
42,4.44,0.118855907,29.92,0.577417738,0.160633484,0.604078558,0.066609707,1.149739101,2.42,50,1.95,-0.099922025,2565
43,7.02,0.082100356,28.89,0.584078321,0.315789474,0.680460723,0.087576992,1.011549966,4.08,75,2.22,0.087576189,3375
44,1.29,-0.013465785,19.23,0.720213139,-0.286384977,0.87836989,0.0550203,1.072893285,12.94,1250,1.64,0.308090944,76000
45,2.13,0.036054103,-3.81,0.713499931,0.240789474,1.050569145,0.035648225,1.508785383,12.54,1250,1.33,-0.12491065,94300
46,1.64,0.049798737,-3.67,0.699491346,-0.142099682,0.866264956,0.033594137,1.051681194,16.78,1250,1.55,0.090225092,80900
47,0.85,0.039588223,-4.88,0.706544308,-0.328800989,0.576457827,0.032575877,0.421939964,20.04,1250,2.30,0.257829109,54300
48,-0.73,0.046966291,-8.14,0.701098116,-0.256906077,0.439895178,0.053887558,0.645832796,10.94,1250,3.10,0.217064505,40350
49,2.2,0.083179622,-3.78,0.664858788,0.469640644,0.586582208,0.043303226,1.206744933,20.74,1250,2.11,-0.276364248,59300
50,3.71,0.023793805,-1.1,0.636021004,0.222596965,0.642739344,0.036158104,1.466503779,19.36,1250,1.72,-0.133990846,72500
51,4.76,0.004753248,6.25,0.584418939,-0.322758621,0.362655864,0.045486479,2.257528147,17.73,1250,2.55,0.266315723,49100
52,0.87,0.028218238,0.65,0.603166256,-0.026476578,0.360346777,0.045435448,1.286869587,13.78,1450,3.03,0.126818772,47800
53,1.74,0.060143562,2.63,0.61850178,0.493723849,0.5168214,0.088098204,2.012469461,11.85,1450,2.03,-0.285203756,71400
54,2.9,-0.010547921,25.32,0.62693907,-0.242296919,0.369834426,0.042343513,2.04162517,13.92,1450,2.68,0.194350133,54100
55,7.99,-0.052076401,0,0.296575541,0.288676236,1.431985027,0.065586305,7.416441195,21.21,411,1.02,-0.136040804,40400
56,4.77,0.148567952,1.89,0.275939937,-0.225247525,1.046305739,0.051727878,1.220874004,12.22,411,1.31,0.136040804,31300
57,5.19,0.133280168,1.33,0.29160563,0.076677316,1.076987982,0.034562329,2.570162122,27.81,411,1.22,-0.040273899,33700
58,6.02,0.073093509,-1.74,0.299367057,-0.112759644,0.889429205,0.031161695,1.750466604,38.01,514,1.72,0.198176929,29900
59,3.52,0.035021854,7.59,0.310063396,-0.096989967,0.775855969,0.035532246,0.636107957,30.87,514,1.90,0.065240522,27000
