회사명,회계년도,roa변동성
LF,2011,7.416441195074629
LF,2012,1.2208740038731656
LF,2013,2.5701621219941146
LF,2014,1.7504666044610178
LF,2015,0.6361079572944222
LF,2016,1.2733027919548232
LF,2017,1.4948690020644886
LF,2018,0.5692978130995644
LF,2019,0.8405553719614673
LF,2020,0.8082903768654437
LF,2021,1.9288684074693327
LS,2011,1.0728932845348607
LS,2012,1.5087853834569496
LS,2013,1.0516811937718271
LS,2014,0.42193996413392193
LS,2015,0.6458327956987024
LS,2016,1.2067449330050384
LS,2017,1.4665037788336364
LS,2018,2.257528146742214
LS,2019,1.2868695867621298
LS,2020,2.012469461466021
LS,2021,2.041625169646313
NI스틸,2011,2.257993209319579
NI스틸,2012,2.209917042183559
NI스틸,2013,0.15885003409923906
NI스틸,2014,0.18734993995194163
NI스틸,2015,0.9854102360607632
NI스틸,2016,0.8753856293085893
NI스틸,2017,1.031164390385934
NI스틸,2018,0.6113373318662367
NI스틸,2019,0.6061627944152707
NI스틸,2020,1.149739100839836
NI스틸,2021,1.0115499658115403
SK텔레콤,2011,1.7207653336040138
SK텔레콤,2012,1.5363701810870103
SK텔레콤,2013,1.6187752572032146
SK텔레콤,2014,1.1493621419436673
SK텔레콤,2015,1.1263362434607769
SK텔레콤,2016,0.6296295206971587
SK텔레콤,2017,0.6700248751601198
SK텔레콤,2018,1.5960263155725227
SK텔레콤,2019,1.5561598032764283
SK텔레콤,2020,3.6114124660581206
SK텔레콤,2021,3.3223084344072165
고려산업,2011,7.589868246550792
고려산업,2012,2.4076336930687776
고려산업,2013,1.1584616235911034
고려산업,2014,1.3593012911051041
고려산업,2015,1.5149367423537308
고려산업,2016,1.522410369556558
고려산업,2017,1.2926458653990796
고려산업,2018,0.648408307575819
고려산업,2019,1.157626882894487
고려산업,2020,0.5154932912592972
고려산업,2021,0.6850547423381644
금강철강,2011,1.345523442134448
금강철강,2012,0.9021640649017231
금강철강,2013,0.8478993650978479
금강철강,2014,0.8848352012286428
금강철강,2015,1.0834666584625476
금강철강,2016,0.705147738657178
금강철강,2017,0.5021288015373452
금강철강,2018,1.5078903585252241
금강철강,2019,1.0805554127392056
금강철강,2020,0.8732315462311974
금강철강,2021,0.9683663218706688
노루페인트,2011,0.37322915213043056
노루페인트,2012,0.5514828495368947
노루페인트,2013,0.5102940328869229
노루페인트,2014,0.6958687615731382
노루페인트,2015,1.0006164766449392
노루페인트,2016,1.9396649195157387
노루페인트,2017,2.163330765278393
노루페인트,2018,2.23204689317526
노루페인트,2019,1.8503242959005854
노루페인트,2020,1.5069948020259822
노루페인트,2021,0.4826316746063507
대동,2011,2.5260509364091086
대동,2012,0.41956326499508334
대동,2013,0.6924112458166276
대동,2014,0.7773244710758398
대동,2015,0.5697660338536636
대동,2016,0.4895235779136019
대동,2017,1.9071532013273955
대동,2018,2.132260146730068
대동,2019,2.083170660315664
대동,2020,0.656429737291052
대동,2021,1.219029668766652
대상홀딩스,2011,0.6199193495931545
대상홀딩스,2012,2.1300704213710873
대상홀딩스,2013,2.3116228066014584
대상홀딩스,2014,0.8951536181013872
대상홀딩스,2015,1.1600143677271144
대상홀딩스,2016,2.0105306098971325
대상홀딩스,2017,1.1235805860432688
대상홀딩스,2018,0.2064784088793176
대상홀딩스,2019,0.43615746392023924
대상홀딩스,2020,1.7635853632113572
대상홀딩스,2021,2.058065434657833
대정화금,2011,2.6852250060904272
대정화금,2012,1.8785721528153603
대정화금,2013,2.6637567456507725
대정화금,2014,3.6597950762303615
대정화금,2015,3.7516174289675814
대정화금,2016,2.978137001549794
대정화금,2017,0.4082074635933666
대정화금,2018,0.5853488988059425
대정화금,2019,0.9224062734681121
대정화금,2020,2.0033305601755615
대정화금,2021,2.0317808280750485
대한제당,2011,0.5750072463311513
대한제당,2012,0.45621632295801656
대한제당,2013,0.5900282479113464
대한제당,2014,0.5801149311415225
대한제당,2015,0.7450503338701352
대한제당,2016,0.9681425514871244
대한제당,2017,1.3882723075823413
대한제당,2018,1.435699597176698
대한제당,2019,0.4398105652816146
대한제당,2020,0.22715633383201106
대한제당,2021,0.5711683931498079
대한제분,2011,4.9523967261653565
대한제분,2012,3.5548980294798898
대한제분,2013,2.5866645188994526
대한제분,2014,1.5008997301618798
대한제분,2015,1.075654839311076
대한제분,2016,1.1093691901256335
대한제분,2017,0.5089531740085104
대한제분,2018,1.429160592795647
대한제분,2019,1.5542307850938157
대한제분,2020,2.3274950769729545
대한제분,2021,2.2312851304423957
삼천리,2011,2.653607607264746
삼천리,2012,3.698003966105679
삼천리,2013,1.4405670179944208
삼천리,2014,0.062449979984028896
삼천리,2015,0.6107645481962256
삼천리,2016,0.5543464620614139
삼천리,2017,0.34530180036214786
삼천리,2018,0.44545856522615074
삼천리,2019,0.2981610303175244
삼천리,2020,0.417412665516202
삼천리,2021,0.13892443989452313
세방전지,2011,2.9350014196475844
세방전지,2012,0.8631531343471711
세방전지,2013,1.9185497995447898
세방전지,2014,3.8315575597051077
세방전지,2015,3.287222738625019
세방전지,2016,0.8556479026640401
세방전지,2017,0.9218098140795495
세방전지,2018,1.0740577265678235
세방전지,2019,1.1606463716395454
세방전지,2020,1.2779801772067418
세방전지,2021,1.8243994445661769
유니드,2011,4.1188873902224294
유니드,2012,3.6142818558232754
유니드,2013,6.4923057023936686
유니드,2014,3.902260028923413
유니드,2015,2.5253184617654383
유니드,2016,1.7381887124245219
유니드,2017,1.5374329253661818
유니드,2018,1.9887265607250662
유니드,2019,0.7145861273026191
유니드,2020,1.55913437522236
유니드,2021,1.9771022566709462
