,회사명,회계년도,log(age),roa,cashflow,g,lvrg,주식수익률,시장가치대장부가치비율,최대주주지분율,주식수익률변동성,roa변동성,외국인지분율,소액주주지분율,총배당금,dps,시가배당률,dy변화,log시총,price
1,노루페인트,2011,1.791759469228055,1.92,0.05137514074738903,19.61,0.5429218342036554,-0.1013615733736762,0.26536048907492776,68.1,0.0279516681078604,0.3732291521304305,0.98,0.3907415,4000000000.0,200.0,6.73,0.3331143618401382,24.80756006331501,2970
2,노루페인트,2012,1.9459101490553132,0.9,-0.010534444389683553,8.16,0.5778453442922513,0.5336700336700337,0.40948708856419563,65.04,0.1245708178702053,0.5514828495368947,2.69,0.2929032,4000000000.0,200.0,4.39,-0.3605634776784248,25.235223641212325,4555
3,노루페인트,2013,2.0794415416798357,2.23,0.029788524224410463,3.54,0.5639057796735792,0.1218441273326016,0.4435505208839014,65.12,0.0496279159620941,0.5102940328869229,0.53,0.3719619,4000000000.0,200.0,3.91,-0.0932714431144765,25.35019751471601,5110
4,노루페인트,2014,2.1972245773362196,2.86,0.04912996766013744,5.69,0.5566903090661864,0.7710371819960862,0.7509549668196771,55.75,0.048862435668132,0.6958687615731382,2.65,0.39087455,4000000000.0,200.0,2.21,-0.4250030046645048,25.92176286821224,9050
5,노루페인트,2015,2.302585092994046,5.86,0.0504567657721975,0.76,0.5266115194687995,0.2320441988950277,0.8229740794497036,54.59,0.0932751669781928,1.0006164766449392,3.46,0.38927905,4000000000.0,200.0,1.79,-0.1402293413086501,26.13043760840653,11150
6,노루페인트,2016,2.3978952727983707,1.66,0.07791132913411218,3.75,0.5154876950201723,-0.2331838565022421,0.6190662925763702,54.03,0.0486090622483874,1.9396649195157387,3.68,0.4242666,4000000000.0,200.0,2.34,0.1799292111553347,25.86492939344907,8550
7,노루페인트,2017,2.4849066497880004,5.07,0.05632930394141442,15.13,0.4947264192707893,0.0152046783625729,0.5809936683169464,53.69,0.0275975664174935,2.163330765278393,4.4,0.3921244,5000000000.0,250.0,2.88,0.149864346646573,25.880019639172662,8680
8,노루페인트,2018,2.5649493574615367,2.12,0.023020401847080804,11.48,0.4932775806863173,-0.0518433179723502,0.5351550070463106,53.39,0.0568123328420307,2.23204689317526,5.18,0.39548725,5000000000.0,250.0,3.04,0.0404095383378766,25.82678412518938,8230
9,노루페인트,2019,2.6390573296152584,3.06,0.09442897904336224,5.32,0.4861359734626831,-0.0097205346294045,0.5059952097402451,53.21,0.0328149566357875,1.8503242959005852,5.67,0.40176815,5500000000.0,275.0,3.37,0.0785183171344401,25.817016037753174,8150
10,노루페인트,2020,2.70805020110221,2.78,0.059870652012498145,-0.7,0.49920124081426936,0.2159509202453988,0.5940704984299738,53.21,0.0608491478942694,1.5069948020259822,6.5,0.44045105,5500000000.0,275.0,2.77,-0.1476880076475795,26.012542458842297,9910
11,노루페인트,2021,2.772588722239781,2.16,0.035441041263138434,13.69,0.48558332475952326,0.503531786074672,0.8643708279405271,51.91,0.0921586069113482,0.4826316746063507,5.34,0.42972435,5500000000.0,275.0,1.85,-0.2797560071793601,26.420359323451816,14900
13,대동,2011,3.6109179126442243,1.14,0.033070801661036035,19.14,0.5866342905405405,-0.2679282868525896,0.3711872799829733,43.42,0.0522234938136054,2.5260509364091086,1.46,0.3719431427823675,1036000000.0,50.0,1.36,0.1655144384775734,25.191483605271063,3675
14,대동,2012,3.6375861597263857,-0.24,0.038521534457476685,-8.99,0.5844415145453857,0.5401360544217686,0.5829065477430555,28.8,0.076352845789443,0.4195632649950833,1.77,0.33659618656443113,1036000000.0,50.0,0.88,-0.2273898421956608,25.623354364821356,5660
15,대동,2013,3.6635616461296463,-0.17,0.05938845133455514,9.07,0.6089856411800642,0.0600706713780918,0.6301169774410134,29.31,0.0331278205357197,0.6924112458166276,1.85,0.33064462089639296,1036411000.0,50.0,0.83,-0.0269558099885284,25.68168994183432,6000
16,대동,2014,3.6888794541139363,0.78,-0.041708260137763256,-1.84,0.6741248355751687,0.6416666666666666,1.0144353811030526,32.02,0.0516366037970199,0.7773244710758398,1.88,0.3235068300558702,1243693000.0,60.0,0.61,-0.1280817878569578,26.17740192779026,9850
17,대동,2015,3.713572066704308,0.51,0.022408239319467952,-3.28,0.6613001881488046,-0.0690355329949238,0.9333600103807861,32.42,0.0473780210842099,0.5697660338536636,1.82,0.3345724772327959,1036410000.0,50.0,0.55,-0.0379792480652163,26.10586775887464,9170
18,대동,2016,3.7376696182833684,-2.65,0.000521625680439318,0.33,0.6775422052228963,-0.2202835332606325,0.7885581158086526,26.85,0.0373713676061032,0.4895235779136019,1.65,0.3345724772327959,829128000.0,40.0,0.56,0.0064308903302904,25.857042829312174,7150
19,대동,2017,3.7612001156935624,1.41,0.014567021978413032,4.22,0.7003966461637007,0.3426573426573427,1.0406253871666256,27.03,0.0472856575864375,1.9071532013273955,2.76,0.3345724772327959,1243693000.0,60.0,0.62,0.0377403279828469,26.15169357108005,9600
20,대동,2018,3.784189633918261,0.19,0.005109699928951997,7.32,0.7185204932724399,-0.4604166666666667,0.5651028385684861,27.48,0.0728694118588876,2.132260146730068,2.52,0.4541395663642559,1036410000.0,50.0,0.97,0.1956073935056044,25.53473552887765,5180
21,대동,2019,3.8066624897703196,0.38,0.0892409638701686,27.21,0.7297276125522951,0.0965250965250965,0.6103664329837146,27.68,0.057300131671653,2.083170660315664,4.39,0.4786984353223442,1243693000.0,60.0,1.06,0.0446724400515926,25.62688170533932,5680
22,대동,2020,3.828641396489095,2.39,0.07548895843941683,7.54,0.6502728165620213,0.2007042253521127,0.4929238048242608,27.72,0.0817349217042686,0.656429737291052,2.23,0.5101829425818467,1658257000.0,80.0,1.17,0.0520211847508783,25.809789944461635,6820
23,대동,2021,3.8501476017100584,3.15,-0.004658433018149511,31.64,0.6938816791470999,0.4809384164222874,0.6210205128205128,27.72,0.076406312886638,1.219029668766652,4.0,0.5569316438113115,1658257000.0,80.0,0.79,-0.1925115476997044,26.202465896453475,10100
25,삼천리,2011,3.58351893845611,1.34,0.036340194867852935,12.77,0.533044943085176,-0.1756756756756756,0.3248820442883911,31.47,0.0163964680680893,2.653607607264746,34.14,0.27712455533566377,10690000000.0,2999.9,3.28,0.4243335924125471,26.63956166200437,91500
26,삼천리,2012,3.6109179126442243,1.37,0.13728331093327184,15.24,0.5806636423580959,0.360655737704918,0.4338024476275585,32.5,0.0376492221503216,3.698003966105679,25.7,0.328816715063409,10690000000.0,2999.9,2.41,-0.2272407182982798,26.947528405627654,124500
27,삼천리,2013,3.6375861597263857,1.46,-0.04887868222414709,5.87,0.5650007642867021,0.0200803212851405,0.43086951883737856,32.51,0.0301091113834607,1.4405670179944208,25.63,0.41423517734169335,10690215000.0,3000.0,2.36,-0.0147713173203125,26.967409776181487,127000
28,삼천리,2014,3.6635616461296463,0.36,-0.01677329431502096,2.64,0.6398238164718484,0.094488188976378,0.4275959846151512,32.46,0.0391651147545859,0.0624499799840288,25.54,0.4093619644761746,7126810000.0,2000.0,1.44,-0.3199429346700023,27.057696622853587,139000
29,삼천리,2015,3.6888794541139363,1.03,0.05474964230583627,-2.31,0.6192920618705077,-0.262589928057554,0.3080983377191357,32.47,0.0375575168743631,0.6107645481962256,22.32,0.37732196472278223,8908512000.0,2500.0,2.44,0.3434734320801965,26.75308548830136,102500
30,삼천리,2016,3.713572066704308,0.55,0.08939398455897696,-16.48,0.6306430327058103,-0.0097560975609756,0.3019721623049325,32.49,0.0307339459417395,0.5543464620614139,23.09,0.3750588467395392,8908512000.0,2500.0,2.46,0.0057971176843258,26.743281488204737,101500
31,삼천리,2017,3.7376696182833684,0.14,0.02706586470712099,7.57,0.6339835756669349,0.1133004926108374,0.3379636124264283,32.48,0.0267883226553287,0.3453018003621478,23.14,0.3721782233155159,10690215000.0,3000.0,2.65,0.0534585785247672,26.850610508435235,113000
32,삼천리,2018,3.7612001156935624,0.72,0.033794578054338394,4.95,0.630124803684912,-0.1946902654867256,0.26967907726262863,32.48,0.0316044435148444,0.4454585652261507,22.98,0.3933415946880722,10690215000.0,3000.0,3.3,0.1638878551051166,26.634082196239746,91000
33,삼천리,2019,3.784189633918261,0.95,0.08104059953583004,0.1,0.6439617008659735,-0.0714285714285714,0.24598845076994866,32.47,0.0210352964189645,0.2981610303175244,20.25,0.3918530711894501,10690215000.0,3000.0,3.55,0.0565122102633424,26.559974224086023,84500
