,회사명,회계년도,자산총계,자본총계,부채총계,매출액증가율,영업활동현금흐름,보통주총배당금,상장일,종가,최대주주지분율,외국인지분율,소액주주주식수,우선주자본금,발행주식 보통주,ROA
0,노루페인트,2010,432876772000.0,218550474000,214326298000.0,18.46,18506397000,3000000000,2006-07-03,3305,68.4,1.0,7386317,231563000.0,20000000,1.44
1,노루페인트,2011,490240264000.0,224078306000,266161958000.0,19.61,25186149000,4000000000,2006-07-03,2970,68.1,0.98,7814830,231563000.0,20000000,1.92
2,노루페인트,2012,527545682000.0,222705225000,304840457000.0,8.16,-5557404000,4000000000,2006-07-03,4555,65.04,2.69,5858064,231563000.0,20000000,0.9
3,노루페인트,2013,528887786000.0,230644925000,298242861000.0,3.54,15754793000,4000000000,2006-07-03,5110,65.12,0.53,7439238,231563000.0,20000000,2.23
4,노루페인트,2014,544220095000.0,241258376000,302961719000.0,5.69,26737511000,4000000000,2006-07-03,9050,55.75,2.65,7817491,231563000.0,20000000,2.86
5,노루페인트,2015,572890897000.0,271200294000,301690604000.0,0.76,28906227000,4000000000,2006-07-03,11150,54.59,3.46,7785581,231563000.0,20000000,5.86
6,노루페인트,2016,570582358000.0,276454031000,294128326000.0,3.75,44454802000,4000000000,2006-07-03,8550,54.03,3.68,8485332,231563000.0,20000000,1.66
7,노루페인트,2017,591817509000.0,299029824000,292787685000.0,15.13,33336696000,5000000000,2006-07-03,8680,53.69,4.4,7842488,231563000.0,20000000,5.07
8,노루페인트,2018,607444943000.0,307805863000,299639080000.0,11.48,13983628000,5000000000,2006-07-03,8230,53.39,5.18,7909745,231563000.0,20000000,2.12
9,노루페인트,2019,627342505000.0,322368611000,304973894000.0,5.32,59239359000,5500000000,2006-07-03,8150,53.21,5.67,8035363,231563000.0,20000000,3.06
10,노루페인트,2020,666659131000.0,333862156000,332796975000.0,-0.7,39913309000,5500000000,2006-07-03,9910,53.21,6.5,8809021,231563000.0,20000000,2.78
11,노루페인트,2021,670646934000.0,344991439000,325655495000.0,13.69,23768428000,5500000000,2006-07-03,14900,51.91,5.34,8594487,231563000.0,20000000,2.16
12,대동,2010,537197200000.0,229915145000,307282054000.0,1.34,48196101000,1036411000,1975-06-27,5020,43.42,1.61,9051605,0.0,23728210,0.35
13,대동,2011,568320324000.0,234924528000,333395797000.0,19.14,18794798000,1036000000,1975-06-27,3675,43.42,1.46,8825545,0.0,23728210,1.14
14,대동,2012,554436780000.0,230400313000,324036467000.0,-8.99,21357764000,1036000000,1975-06-27,5660,28.8,1.77,7986825,0.0,23728210,-0.24
15,대동,2013,577832578000.0,225940641000,351891937000.0,9.07,34316607000,1036411000,1975-06-27,6000,29.31,1.85,7845605,0.0,23728210,-0.17
16,대동,2014,707010305000.0,230397276000,476613029000.0,-1.84,-29488157000,1243693000,1975-06-27,9850,32.02,1.88,7676238,0.0,23728210,0.78
17,대동,2015,688285313000.0,233122550000,455162763000.0,-3.28,15423255000,1036410000,1975-06-27,9170,32.42,1.82,7938806,0.0,23728210,0.51
18,대동,2016,667215742000.0,215148462000,452067280000.0,0.33,348037000,829128000,1975-06-27,7150,26.85,1.65,7938806,0.0,23728210,-2.65
19,대동,2017,730626224000.0,218897831000,511728393000.0,4.22,10643045000,1243693000,1975-06-27,9600,27.03,2.76,7938806,0.0,23728210,1.41
20,대동,2018,772716728000.0,217503766000,555212961000.0,7.32,3948352000,1036410000,1975-06-27,5180,27.48,2.52,10775919,0.0,23728210,0.19
21,대동,2019,816997552000.0,220811970000,596185582000.0,27.21,72909689000,1243693000,1975-06-27,5680,27.68,4.39,11358657,0.0,23728210,0.38
22,대동,2020,938726122000.0,328298574000,610427548000.0,7.54,70863448000,1658257000,1975-06-27,6820,27.72,2.23,12105728,0.0,23728210,2.39
23,대동,2021,1260639076000.0,385904527000,874734549000.0,31.64,-5872607000,1658257000,1975-06-27,10100,27.72,4.0,13214991,0.0,23728210,3.15
24,삼천리,2010,2109726710000.0,1126670978000,983055731000.0,13.67,65045740000,7168460000,1976-12-23,111000,31.5,31.32,1172039,0.0,4055025,3.85
25,삼천리,2011,2445760692000.0,1142056810000,1303703883000.0,12.77,88879395000,10690000000,1976-12-23,91500,31.47,34.14,1123747,0.0,4055025,1.34
26,삼천리,2012,2775289821000.0,1163778776000,1611511045000.0,15.24,381001335000,10690000000,1976-12-23,124500,32.5,25.7,1333360,0.0,4055025,1.37
27,삼천리,2013,2747656135000.0,1195230173000,1552425962000.0,5.87,-134301900000,10690215000,1976-12-23,127000,32.51,25.63,1679734,0.0,4055025,1.46
28,삼천리,2014,3659823478000.0,1318184722000,2341638757000.0,2.64,-61387238000,7126810000,1976-12-23,139000,32.46,25.54,1659973,0.0,4055025,0.36
29,삼천리,2015,3543526900000.0,1349051200000,2194475700000.0,-2.31,194007173000,8908512000,1976-12-23,102500,32.47,22.32,1530050,0.0,4055025,1.03
30,삼천리,2016,3690167118000.0,1362989763000,2327177355000.0,-16.48,329878875000,8908512000,1976-12-23,101500,32.49,23.09,1520873,0.0,4055025,0.55
31,삼천리,2017,3704259229000.0,1355816089000,2348443141000.0,7.57,100258623000,10690215000,1976-12-23,113000,32.48,23.14,1509192,0.0,4055025,0.14
32,삼천리,2018,3699411189000.0,1368320165000,2331091025000.0,4.95,125020396000,10690215000,1976-12-23,91000,32.48,22.98,1595010,0.0,4055025,0.72
33,삼천리,2019,3912362195000.0,1392949320000,2519412875000.0,0.1,317059914000,10690215000,1976-12-23,84500,32.47,20.25,1588974,0.0,4055025,0.95
