,회사명,회계년도,dps,시가배당률,dy변화,log시총,price
0,노루페인트,2010,150.0,4.54,,24.914434583804052,3305
1,노루페인트,2011,200.0,6.73,0.3331143618401382,24.80756006331501,2970
2,노루페인트,2012,200.0,4.39,-0.3605634776784248,25.235223641212325,4555
3,노루페인트,2013,200.0,3.91,-0.09327144311447655,25.350197514716015,5110
4,노루페인트,2014,200.0,2.21,-0.4250030046645048,25.921762868212237,9050
5,노루페인트,2015,200.0,1.79,-0.14022934130865017,26.13043760840653,11150
6,노루페인트,2016,200.0,2.34,0.17992921115533478,25.86492939344907,8550
7,노루페인트,2017,250.0,2.88,0.149864346646573,25.880019639172662,8680
8,노루페인트,2018,250.0,3.04,0.04040953833787664,25.82678412518938,8230
9,노루페인트,2019,275.0,3.37,0.07851831713444013,25.817016037753174,8150
10,노루페인트,2020,275.0,2.77,-0.1476880076475795,26.012542458842297,9910
11,노루페인트,2021,275.0,1.85,-0.2797560071793601,26.420359323451816,14900
12,대동,2010,50.0,1.0,-0.3541718137206139,25.503360406309902,5020
13,대동,2011,50.0,1.36,0.1655144384775734,25.191483605271063,3675
14,대동,2012,50.0,0.88,-0.22738984219566083,25.623354364821353,5660
15,대동,2013,50.0,0.83,-0.026955809988528423,25.681689941834318,6000
16,대동,2014,60.0,0.61,-0.12808178785695784,26.17740192779026,9850
17,대동,2015,50.0,0.55,-0.0379792480652163,26.105867758874638,9170
18,대동,2016,40.0,0.56,0.0064308903302904286,25.857042829312178,7150
19,대동,2017,60.0,0.62,0.03774032798284699,26.151693571080052,9600
20,대동,2018,50.0,0.97,0.1956073935056044,25.534735528877654,5180
21,대동,2019,60.0,1.06,0.044672440051592655,25.626881705339322,5680
22,대동,2020,80.0,1.17,0.05202118475087836,25.809789944461635,6820
23,대동,2021,80.0,0.79,-0.19251154769970447,26.202465896453475,10100
24,삼천리,2010,2000.0,1.8,0.44740379732849445,26.83275289103523,111000
25,삼천리,2011,2999.9,3.28,0.4243335924125471,26.639561662004372,91500
26,삼천리,2012,2999.9,2.41,-0.22724071829827985,26.947528405627658,124500
27,삼천리,2013,3000.0,2.36,-0.01477131732031256,26.967409776181487,127000
28,삼천리,2014,2000.0,1.44,-0.31994293467000234,27.057696622853587,139000
29,삼천리,2015,2500.0,2.44,0.34347343208019654,26.75308548830136,102500
30,삼천리,2016,2500.0,2.46,0.005797117684325892,26.743281488204737,101500
31,삼천리,2017,3000.0,2.65,0.05345857852476721,26.850610508435235,113000
32,삼천리,2018,3000.0,3.3,0.1638878551051166,26.634082196239746,91000
33,삼천리,2019,3000.0,3.55,0.05651221026334241,26.559974224086023,84500
34,삼천리,2020,3000.0,3.69,0.030305349495328704,26.52259796273139,81400
35,삼천리,2021,3000.0,3.3,-0.08681755975867111,26.631881975330142,90800
36,NI스틸,2010,50.0,2.12,-0.3207820208781256,24.92714068548676,2355
37,NI스틸,2011,50.0,2.75,0.18392283816092836,24.669436459107082,1820
38,NI스틸,2012,50.0,2.92,0.044335813820051584,24.607093328532947,1710
39,NI스틸,2013,50.0,2.7,-0.057758834152192184,24.688484654077776,1855
40,NI스틸,2014,50.0,2.15,-0.16093036681263717,24.916468225595988,2330
41,NI스틸,2015,50.0,1.89,-0.08614595071320097,25.043271023328643,2645
42,NI스틸,2016,50.0,1.59,-0.1095986264128943,25.21322913210326,3135
43,NI스틸,2017,50.0,1.71,0.04529075918016312,25.145602381047354,2930
44,NI스틸,2018,50.0,2.2,0.1662021749140713,24.896456477166254,2270
45,NI스틸,2019,50.0,2.26,0.018576385572935283,24.8696691612026,2210
46,NI스틸,2020,50.0,1.95,-0.09992202502688774,25.018635124295674,2565
47,NI스틸,2021,75.0,2.22,0.08757618920458854,25.293071969997435,3375
48,LS,2010,1000.0,0.94,-0.5066933864810802,28.863377274646254,106500
49,LS,2011,1250.0,1.64,0.3080909440829881,28.525965629783105,76000
50,LS,2012,1250.0,1.33,-0.1249106495806156,28.741713479136184,94300
51,LS,2013,1250.0,1.55,0.09022509159272563,28.58844611356122,80900
52,LS,2014,1250.0,2.3,0.2578291093020997,28.189756516436663,54300
53,LS,2015,1250.0,3.1,0.2170645052378275,27.892823684212733,40350
54,LS,2016,1250.0,2.11,-0.27636424751911925,28.277841595500455,59300
55,LS,2017,1250.0,1.72,-0.13399084588323684,28.478818851357403,72500
56,LS,2018,1250.0,2.55,0.26631572317941843,28.08909132429725,49100
57,LS,2019,1450.0,3.03,0.12681877247126705,28.062257928994185,47800
58,LS,2020,1450.0,2.03,-0.28520375643731377,28.463530158842314,71400
59,LS,2021,1450.0,2.68,0.19435013265956202,28.18606647534921,54100
60,LF,2010,400.0,1.28,-0.4787373092144903,27.54401773890692,31350
61,LF,2011,400.0,0.99,-0.13604080422994835,27.797633256795095,40400
62,LF,2012,400.0,1.28,0.13604080422994835,27.542421569374095,31300
63,LF,2013,400.0,1.19,-0.040273899137939995,27.616301309186305,33700
64,LF,2014,500.0,1.67,0.1981769285837488,27.49666195222463,29900
65,LF,2015,500.0,1.85,0.06524052186840101,27.394640337832318,27000
66,LF,2016,500.0,2.32,0.15264578864783784,27.169179288377745,21550
67,LF,2017,500.0,1.6,-0.2444533379009607,27.542421569374095,31300
68,LF,2018,500.0,2.01,0.1464286337333479,27.311661224370628,24850
69,LF,2019,500.0,2.7,0.20639274088939463,27.016574203912267,18500
70,LF,2020,500.0,3.4,0.17327172127403667,26.78665096561268,14700
71,LF,2021,600.0,3.48,0.01801850550267825,26.946615615305358,17250
72,유니드,2010,1100.0,2.0,-0.40101075775878403,26.617220366605537,55100
73,유니드,2011,750.0,1.47,-0.19439413802822392,26.541855147656324,51100
74,유니드,2012,749.9,1.96,0.1809711176960831,26.250906166059195,38200
75,유니드,2013,1000.0,1.69,-0.09564807472222125,26.688992192336627,59200
76,유니드,2014,1100.0,1.91,0.07861188756965354,26.659855598249973,57500
77,유니드,2015,1100.1,2.41,0.15855921011202412,26.730273523923977,45700
78,유니드,2016,1100.0,2.46,0.014556297774207527,26.70814872764334,44700
79,유니드,2017,1100.0,2.36,-0.029327615094520088,26.748702229746893,46550
80,유니드,2018,1100.0,2.62,0.07453305186256687,26.645844844307184,42000
81,유니드,2019,1200.0,2.57,-0.01390843004613207,26.75298948175851,46750
82,유니드,2020,1400.0,2.9,0.08841095734405302,26.785606786682344,48300
83,유니드,2021,1700.0,1.69,-0.3714353595218529,27.518332953522947,100500
84,유한양행,2010,1000.0,0.58,-0.5321163465748723,28.242780672424384,173500
85,유한양행,2011,1250.0,0.98,0.2256719976675684,27.9830500141924,127500
86,유한양행,2012,1250.0,0.72,-0.14077255388108212,28.2882252440917,173000
87,유한양행,2013,1500.0,0.8,0.04546237407675735,28.366042266448506,187000
88,유한양행,2014,1750.0,1.03,0.12024912815157696,28.267786576414423,169500
89,유한양행,2015,2000.0,0.73,-0.15991438454400841,28.74257226369722,272500
90,유한양행,2016,2000.0,1.0,0.14502577205025768,28.43074788592384,199500
91,유한양행,2017,2000.0,0.91,-0.04604393850140687,28.56900728025949,219000
92,유한양행,2018,2000.0,0.98,0.03599360264790541,28.546036191699326,204500
93,유한양행,2019,2000.0,0.85,-0.06791120561621045,28.73686972499494,236500
94,유한양행,2020,400.0,0.53,-0.1899179036858893,29.244639563933962,75100
95,유한양행,2021,400.0,0.64,0.06942850643176296,29.100120693302138,62100
96,한섬,2010,380.0,2.08,0.6302333551493761,26.834132108926234,18300
97,한섬,2011,470.0,1.58,-0.17714019805195702,27.31837809488751,29700
98,한섬,2012,300.0,1.02,-0.2446918875204127,27.309924959176453,29450
99,한섬,2013,300.0,0.95,-0.03526813883745794,27.37880463806608,31550
100,한섬,2014,300.0,0.92,-0.015504186535965192,27.410008417733437,32550
101,한섬,2015,300.0,0.74,-0.09844007281325262,27.630999115686546,40600
102,한섬,2016,300.0,0.86,0.06669137449867224,27.47828418628539,34850
103,한섬,2017,350.0,1.11,0.1261114597628653,27.375630032225306,31450
104,한섬,2018,400.0,1.1,-0.004750602758597844,27.517670430379543,36250
105,한섬,2019,450.0,1.43,0.14595391262307977,27.37880463806608,31550
106,한섬,2020,450.0,1.49,0.024391453124159135,27.33672723355571,30250
107,한섬,2021,600.0,1.69,0.07725848313713146,27.49957668693684,35600
108,한화,2010,600.0,1.28,-0.16536575064739834,28.88394776374201,46700
109,한화,2011,450.0,1.36,0.03448617607116933,28.54124631569903,33150
110,한화,2012,450.0,1.32,-0.017094433359300054,28.57242924313572,34200
111,한화,2013,400.0,1.02,-0.13846967426510526,28.708880345863577,39200
112,한화,2014,500.0,1.6,0.25241393361432296,28.48222297524957,31250
113,한화,2015,500.0,1.27,-0.135731613534125,28.713969415371047,39400
114,한화,2016,600.0,1.71,0.1771688033982982,28.596979212547758,35050
115,한화,2017,600.0,1.45,-0.10086061033497395,28.76589702630381,41500
116,한화,2018,700.0,2.23,0.27639411267792946,28.48541786614609,31350
117,한화,2019,700.0,2.8,0.1625189294977749,28.25907942393536,25000
118,한화,2020,700.0,2.47,-0.09084647277357205,28.38306540371635,28300
119,한화,2021,750.0,2.39,-0.02332467256640891,28.487011491981367,31400
120,현대백화점,2010,600.0,0.43,-0.8631554771205431,28.784211617078157,139500
121,현대백화점,2011,650.0,0.4,-0.02120220765060299,28.969856370915586,163000
122,현대백화점,2012,650.0,0.41,0.007117467768863961,28.945010372329055,159000
123,현대백화점,2013,650.0,0.4,-0.007117467768863961,28.957510535093284,161000
124,현대백화점,2014,700.0,0.57,0.11460338273900367,28.68829052548124,123000
125,현대백화점,2015,700.0,0.55,-0.012820688429061311,28.716348478276398,126500
126,현대백화점,2016,700.0,0.64,0.05644131090495175,28.567454052337965,109000
127,현대백화점,2017,800.0,0.77,0.07628330474963074,28.525293241513687,104500
128,현대백화점,2018,900.0,1.0,0.12216763397420749,28.380350437506955,90400
129,현대백화점,2019,1000.0,1.2,0.09531017980432488,28.296150871970227,83100
130,현대백화점,2020,1000.0,1.4,0.08701137698962969,28.14440403945436,71400
131,현대백화점,2021,1100.0,1.46,0.024692612590371588,28.19492672887891,75100
132,고려산업,2010,100.0,2.96,0.4760826753221178,23.546673133490117,3375
133,고려산업,2011,150.0,4.39,0.30830135965451655,23.558455302188378,3415
134,고려산업,2012,150.0,2.73,-0.36813715126518165,24.033206064687064,5490
135,고려산업,2013,25.0,2.17,-0.16267664576653496,24.079477663974885,1150
136,고려산업,2014,45.0,2.32,0.046233195039207864,24.602403694674962,1940
137,고려산업,2015,30.0,1.46,-0.2998034329841256,24.659991569547923,2055
138,고려산업,2016,30.0,0.45,-0.5285977935117884,25.837335581527256,6670
139,고려산업,2017,35.0,1.3,0.46134556650262093,24.92925691521347,2690
140,고려산업,2018,30.0,1.38,0.03419136474827933,24.714442889152092,2170
141,고려산업,2019,30.0,0.89,-0.23052365861183233,25.151656695574836,3360
142,고려산업,2020,35.0,0.71,-0.10008345855698253,25.528950926716306,4900
143,고려산업,2021,40.0,1.37,0.32639658463247134,25.007868802783126,2910
144,금강철강,2010,100.0,4.26,0.7972410716025787,24.507273636151925,2350
145,금강철강,2011,100.0,3.78,-0.09569048024625415,24.62552937330612,2645
146,금강철강,2012,100.0,4.23,0.08997073157346724,24.513636329939754,2365
147,금강철강,2013,100.0,3.92,-0.06110274757261491,24.588951667166192,2550
148,금강철강,2014,100.0,3.57,-0.07379532559810342,24.682477725177016,2800
149,금강철강,2015,100.0,2.33,-0.31654090091376075,25.111473330695375,4300
150,금강철강,2016,100.0,1.87,-0.14866027422082273,25.329954868903773,5350
151,금강철강,2017,100.0,2.72,0.25941163851352544,24.954411440660657,3675
152,금강철강,2018,100.0,2.62,-0.0272496424473756,24.990487497134467,3810
153,금강철강,2019,100.0,2.81,0.05115516330092995,24.92121337125106,3555
154,금강철강,2020,100.0,2.86,0.013037994338129799,24.90419168368163,3495
155,금강철강,2021,120.0,2.35,-0.14170683763976433,25.282098847726136,5100
156,대상홀딩스,2010,150.0,4.6,0.5138062519041284,25.494398444781353,3260
157,대상홀딩스,2011,150.0,3.77,-0.1604202928408538,25.692695997509034,3975
158,대상홀딩스,2012,120.0,1.88,-0.5045560107523952,26.168969239768362,6400
159,대상홀딩스,2013,120.0,1.44,-0.16579225484274407,26.431333504235855,8320
160,대상홀딩스,2014,170.0,1.01,-0.1938633172341261,27.13405013581195,16800
161,대상홀딩스,2015,170.0,0.89,-0.06155789299943337,27.26497396502939,19150
162,대상홀딩스,2016,170.0,1.65,0.3379828109265798,26.64481514463833,10300
163,대상홀딩스,2017,180.0,1.81,0.058624843347523714,26.61024380057324,9950
164,대상홀딩스,2018,190.0,2.42,0.19645606772885937,26.374457855843854,7860
165,대상홀딩스,2019,200.0,2.97,0.1491255436245853,26.220731174326954,6740
166,대상홀딩스,2020,220.0,2.16,-0.22819406710027845,26.635058969692963,10200
167,대상홀딩스,2021,240.0,2.47,0.09358256635994722,26.584797134912076,9700
168,대정화금,2010,444.8,3.48,0.2554684524681259,24.984212968580675,12800
169,대정화금,2011,400.0,2.93,-0.130983620545724,25.093660138857178,13650
170,대정화금,2012,273.6,2.93,0.0,24.713155632085464,9330
171,대정화금,2013,250.0,2.44,-0.13316795449586283,24.807198322810628,10250
172,대정화금,2014,250.0,2.61,0.048236300959482614,24.74064150612156,9590
173,대정화금,2015,250.0,1.92,-0.21212415606459922,25.08806303108759,13000
174,대정화금,2016,250.0,1.98,0.020339684237122624,25.06077088879958,12650
175,대정화금,2017,270.0,2.2,0.07122750928836785,25.057760621753754,12300
176,대정화금,2018,300.0,2.33,0.03982149418667169,25.236759501241124,12850
177,대정화금,2019,300.0,2.01,-0.1010322252315683,25.38812698973659,14950
178,대정화금,2020,300.0,0.79,-0.5197244589081206,26.32328399874242,37900
179,대정화금,2021,300.0,1.38,0.28488486783071965,25.773323648832022,21700
180,대한제당,2010,1000.0,1.65,0.10745915231474745,26.150478561297216,60600
181,대한제당,2011,375.0,1.57,-0.030653741091002384,25.915299172638818,23950
182,대한제당,2012,632.5,2.44,0.2915655724781786,25.99550245839379,25950
183,대한제당,2013,500.0,1.76,-0.22024079165624855,26.083957878955655,28350
