종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","3355","-135","-3.87","3510","3575","3330","3260046","11317780985","155240926115","46271513"
"095570","AJ네트웍스","KOSPI",,"6920","70","1.02","6840","6930","6790","79129","545198870","324010281400","46822295"
"006840","AK홀딩스","KOSPI",,"19400","-100","-0.51","19400","19700","19100","5687","110487000","257002683400","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","11950","0","0.00","11950","12000","11600","21650","255829550","243710940950","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","21800","-50","-0.23","21900","22150","21650","81320","1775914050","333134977800","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","17600","300","1.73","17000","18650","16600","2248826","39796491600","265448550400","15082304"
"027410","BGF","KOSPI",,"5140","80","1.58","5050","5190","5010","105432","537195660","491984305740","95716791"
"282330","BGF리테일","KOSPI",,"184500","-1500","-0.81","186000","187000","182000","24406","4489801500","3188880657000","17283906"
"032790","BNGT","KOSDAQ","관리종목(소속부없음)","4075","0","0.00","0","0","0","0","0","120352455875","29534345"
"138930","BNK금융지주","KOSPI",,"7630","10","0.13","7640","7650","7530","479142","3646250200","2486885926980","325935246"
"001460","BYC","KOSPI",,"448500","-500","-0.11","443500","449000","443000","25","11122500","280139827500","624615"
"001465","BYC우","KOSPI",,"172500","-2500","-1.43","172500","174500","172000","156","26929000","37153912500","215385"
"013720","CBI","KOSDAQ","벤처기업부","2100","-5","-0.24","2105","2180","2050","269205","563316740","142086067200","67660032"
"001040","CJ","KOSPI",,"82700","-100","-0.12","82800","83200","82100","22059","1822261000","2412937734600","29176998"
"079160","CJ CGV","KOSPI",,"27450","650","2.43","27100","27600","26900","437596","11959781000","1121195963700","40845026"
"035760","CJ ENM","KOSDAQ","우량기업부","108700","600","0.56","108700","108800","107100","39814","4306853900","2383699039800","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","34950","-200","-0.57","35250","36000","34850","4619","161851600","205459586400","5878672"
"00104K","CJ4우(전환)","KOSPI",,"73200","-1300","-1.74","73900","74100","73100","5862","430030600","309380678400","4226512"
"000120","CJ대한통운","KOSPI",,"123000","-1500","-1.20","124500","124500","122000","42648","5236038500","2805918312000","22812344"
"011150","CJ씨푸드","KOSPI",,"3900","-90","-2.26","3980","3980","3890","196362","768349570","140130014700","35930773"
"011155","CJ씨푸드1우","KOSPI",,"33050","-150","-0.45","33150","33150","32900","56","1850600","6610000000","200000"
"001045","CJ우","KOSPI",,"50900","-100","-0.20","52000","52000","50600","804","40992100","115045350700","2260223"
"097950","CJ제일제당","KOSPI",,"403000","5000","1.26","400000","406000","398500","33731","13535340500","6066836958000","15054186"
"097955","CJ제일제당 우","KOSPI",,"177500","500","0.28","178000","179500","175500","995","175906500","235619357500","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","37450","0","0.00","37500","37700","36400","69891","2578914000","444590895700","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","3125","50","1.63","3095","3165","3055","641020","1995231225","434038262500","138892244"
"023460","CNH","KOSDAQ","중견기업부","2225","0","0.00","2225","2250","2220","13457","30060280","82770000000","37200000"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)","3100","0","0.00","0","0","0","0","0","109591063600","35351956"
"065770","CS","KOSDAQ","벤처기업부","2720","-105","-3.72","2775","2795","2695","376084","1023908375","52798273600","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","1840","-115","-5.88","1955","1960","1835","155764","291132025","72590195120","39451193"
"000590","CS홀딩스","KOSPI",,"63300","-300","-0.47","63100","63500","62800","1650","104159200","73078710600","1154482"
"012030","DB","KOSPI",,"970","1","0.10","978","978","967","123051","119385702","195138715010","201173933"
"404950","DB금융스팩10호","KOSDAQ","SPAC(소속부없음)","2155","-5","-0.23","2170","2170","2155","10633","22935545","12585200000","5840000"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)","2160","-5","-0.23","2175","2175","2130","13283","28498295","13068000000","6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2180","0","0.00","2175","2180","2165","6505","14147820","10551200000","4840000"
"016610","DB금융투자","KOSPI",,"5830","-40","-0.68","5870","5910","5810","34288","200356920","247462447870","42446389"
"005830","DB손해보험","KOSPI",,"65000","1900","3.01","63900","65500","62600","127518","8233449300","4602000000000","70800000"
"000990","DB하이텍","KOSPI",,"74200","700","0.95","74000","74600","73000","500793","36930094500","3294375229600","44398588"
"000995","DB하이텍1우","KOSPI",,"104000","0","0.00","104000","104000","103000","261","27103500","11680864000","112316"
"139130","DGB금융지주","KOSPI",,"8550","-10","-0.12","8570","8570","8450","242296","2064436110","1446196872150","169145833"
"001530","DI동일","KOSPI",,"25350","750","3.05","25100","26000","25000","235794","6002102250","648155644500","25568270"
"000210","DL","KOSPI",,"61100","-1300","-2.08","62300","62400","60500","59591","3646254500","1280404512400","20955884"
"001880","DL건설","KOSPI",,"22550","-200","-0.88","22750","22800","22200","41321","928299850","497301554200","22053284"
"000215","DL우","KOSPI",,"39700","0","0.00","39750","40200","39500","783","31015400","66938765500","1686115"
"375500","DL이앤씨","KOSPI",,"49450","-200","-0.40","49600","49650","48550","214587","10514201850","1913399657350","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"38000","-200","-0.52","38200","38200","37750","2711","102704700","80254138000","2111951"
"37550K","DL이앤씨우","KOSPI",,"33150","-300","-0.90","33500","33500","32950","4646","154258500","70075287750","2113885"
"068790","DMS","KOSDAQ","우량기업부","6300","20","0.32","6280","6350","6250","22433","141268340","154810284300","24573061"
"004840","DRB동일","KOSPI",,"5830","150","2.64","5700","5830","5600","38807","222289590","116191900000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부","5010","75","1.52","4900","5020","4865","134755","665086100","139335129030","27811403"
"155660","DSR","KOSPI",,"6550","-180","-2.67","6760","6800","6550","172896","1144741770","104800000000","16000000"
"069730","DSR제강","KOSPI",,"6080","-200","-3.18","6260","6430","6030","409057","2546972870","87552000000","14400000"
"017940","E1","KOSPI",,"50400","0","0.00","50400","50600","49850","9971","500934100","345744000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","3640","35","0.97","3610","3675","3595","257933","938323220","306036388840","84075931"
"037370","EG","KOSDAQ","중견기업부","11700","-250","-2.09","12000","12000","11650","54067","636234850","96963480900","8287477"
"278990","EMB","KONEX","일반기업부","7000","270","4.01","6800","7000","6400","20","135400","25397554000","3628222"
"365550","ESR켄달스퀘어리츠","KOSPI",,"6650","-140","-2.06","6700","6740","6650","284245","1900858320","1417041850000","213089000"
"050120","ES큐브","KOSDAQ","중견기업부","4665","-75","-1.58","4760","4765","4655","38216","179174305","63276461190","13564086"
"084180","EV수성","KOSDAQ","중견기업부","1460","-20","-1.35","1480","1495","1445","263583","384891325","89777702420","61491577"
"383220","F&F","KOSPI",,"135500","-2500","-1.81","135500","137000","131500","159083","21248925000","5190608662500","38307075"
"007700","F&F홀딩스","KOSPI",,"23900","-200","-0.83","24200","24200","23850","16313","390625400","934833371300","39114367"
"214270","FSN","KOSDAQ","중견기업부","5820","100","1.75","5760","5860","5630","318490","1828869310","162404492640","27904552"
"130500","GH신소재","KOSDAQ","중견기업부","4995","5","0.10","5040","5110","4905","87163","438111510","72652534740","14545052"
"114090","GKL","KOSPI",,"14350","-100","-0.69","14500","14500","14250","86865","1242972250","887628864500","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","1225","5","0.41","1230","1235","1210","95022","116107115","82534375000","67375000"
"078930","GS","KOSPI",,"45100","-650","-1.42","45800","45900","44400","323356","14454005250","4190483547800","92915378"
"083450","GST","KOSDAQ","우량기업부","28300","-100","-0.35","28650","28700","28150","45851","1300381450","263692183500","9317745"
"006360","GS건설","KOSPI",,"38150","150","0.39","38050","38200","37400","469856","17752516450","3264933843500","85581490"
"001250","GS글로벌","KOSPI",,"3805","-190","-4.76","3985","4045","3785","4148445","16032011075","314040972020","82533764"
"007070","GS리테일","KOSPI",,"26200","0","0.00","26300","26300","26000","116470","3043575050","2743609556400","104717922"
"078935","GS우","KOSPI",,"36650","0","0.00","37000","37000","36600","1746","64101150","65413872900","1784826"
"297890","HB솔루션","KOSDAQ","벤처기업부","16950","550","3.35","16500","17000","16450","29203","491042950","283286248350","16713053"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2295","0","0.00","2300","2350","2280","256874","592554690","181283027670","78990426"
"012630","HDC","KOSPI",,"7230","50","0.70","7150","7250","7150","74479","535257710","431932642830","59741721"
"039570","HDC랩스","KOSPI",,"9350","30","0.32","9320","9540","9270","3653","34221920","242703569350","25957601"
"089470","HDC현대EP","KOSPI",,"4595","-5","-0.11","4590","4640","4565","31751","145666240","146580500000","31900000"
"294870","HDC현대산업개발","KOSPI",,"13750","300","2.23","13550","13900","13450","352017","4820306450","906225787500","65907330"
"267250","HD현대","KOSPI",,"58600","-1400","-2.33","60000","60000","58300","284260","16688077900","4628994781000","78993085"
"097230","HJ중공업","KOSPI",,"7500","-70","-0.92","7700","7700","7450","15372","115009970","624557107500","83274281"
"195940","HK이노엔","KOSDAQ","벤처기업부","47500","7050","17.43","48000","52300","45050","9193777","442591344400","1372963702500","28904499"
"028300","HLB","KOSDAQ","중견기업부","48100","-2800","-5.50","51200","51700","46100","1997659","96966213650","5127944078400","106610064"
"003580","HLB글로벌","KOSPI",,"11350","-1100","-8.84","12500","12700","11100","2586745","30103900850","478582249950","42165837"
"343090","HLB사이언스","KONEX","일반기업부","5780","-420","-6.77","6310","6310","5750","19696","115762000","65664557000","11360650"
"067630","HLB생명과학","KOSDAQ","중견기업부","16350","-1550","-8.66","18300","18800","16150","5055709","85703059450","1561393624350","95498081"
