종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"071970","STX중공업","KOSPI",,"4470","-100","-2.19","4495","4505","4405","140238","623481425","126795912720","28365976"
"002820","SUN&L","KOSPI",,"5550","100","1.83","5430","5570","5390","5036","27428060","69974338950","12607989"
"289080","SV인베스트먼트","KOSDAQ","벤처기업부","3080","-95","-2.99","3100","3110","3045","312789","962833550","163960720000","53234000"
"084870","TBH글로벌","KOSPI",,"1995","-55","-2.68","2030","2045","1950","45089","90039260","41609353905","20856819"
"002710","TCC스틸","KOSPI",,"11650","-200","-1.69","11300","11900","11250","269210","3121459050","273775000000","23500000"
"089230","THE E&M","KOSDAQ","중견기업부","582","-14","-2.35","594","597","580","259224","151756807","100948011162","173450191"
"161570","THE MIDONG","KOSDAQ","중견기업부","1360","-35","-2.51","1395","1395","1325","208759","284717420","21192648800","15582830"
"192410","THQ","KOSDAQ","벤처기업부","4990","500","11.14","4300","4990","4300","3553082","16918411520","146291141380","29316862"
"032540","TJ미디어","KOSDAQ","중견기업부","6150","-170","-2.69","6140","6200","6070","121499","744221240","85679395350","13931609"
"022220","TKG애강","KOSDAQ","우량기업부","1970","-50","-2.48","1965","1995","1950","153548","302364980","102035320630","51794579"
"069260","TKG휴켐스","KOSPI",,"24600","0","0.00","24050","24950","23800","431116","10603802150","1005613264800","40878588"
"048770","TPC","KOSDAQ","벤처기업부","5820","340","6.20","5290","6200","5270","5063315","29405240380","90083932980","15478339"
"246690","TS인베스트먼트","KOSDAQ","벤처기업부","2400","-50","-2.04","2375","2440","2370","147132","351135075","93902109600","39125879"
"317240","TS트릴리온","KOSDAQ","벤처기업부","1200","10","0.84","1150","1240","1150","2911906","3470086670","113337150000","94447625"
"002900","TYM","KOSPI",,"3205","-135","-4.04","3225","3360","3150","12250629","39665154380","488293759135","152353747"
"038340","UCI","KOSDAQ","투자주의환기종목(소속부없음)","1335","0","0.00","0","0","0","0","0","16641828315","12465789"
"073570","WI","KOSDAQ","중견기업부","1065","-45","-4.05","1060","1095","1035","1730952","1834531195","86163689745","80904873"
"024070","WISCOM","KOSPI",,"3405","-10","-0.29","3400","3460","3335","34744","117594485","52186521390","15326438"
"057030","YBM넷","KOSDAQ","중견기업부","4925","-135","-2.67","5000","5010","4920","75267","373409035","80340032725","16312697"
"037270","YG PLUS","KOSPI",,"6760","-110","-1.60","6700","6800","6680","296784","1996483510","428782811600","63429410"
"040300","YTN","KOSDAQ","우량기업부","3355","-5","-0.15","3325","3385","3305","15592","52214740","140910000000","42000000"
"051390","YW","KOSDAQ","중견기업부","4130","-80","-1.90","4205","4205","4105","8440","35034510","46897669840","11355368"
"052220","iMBC","KOSDAQ","중견기업부","4280","-40","-0.93","4230","4340","4140","125572","484149365","98440000000","23000000"
"079940","가비아","KOSDAQ","우량기업부","13000","-200","-1.52","12950","13050","12700","24463","315712050","175963892000","13535684"
"078890","가온미디어","KOSDAQ","우량기업부","11200","-150","-1.32","10950","11300","10900","127962","1420559700","180942283200","16155561"
"000500","가온전선","KOSPI",,"26850","-450","-1.65","26550","27000","26450","17915","478561650","111705316950","4160347"
"036620","감성코퍼레이션","KOSDAQ","중견기업부","1630","-35","-2.10","1675","1675","1595","325278","528258740","129790803800","79626260"
"000860","강남제비스코","KOSPI",,"24100","-350","-1.43","24400","24400","23700","6229","149726800","156650000000","6500000"
"217730","강스템바이오텍","KOSDAQ","기술성장기업부","3430","-100","-2.83","3415","3475","3400","130705","447735860","130127082750","37937925"
"035250","강원랜드","KOSPI",,"26650","-550","-2.02","26700","26950","26600","602458","16097119450","5701514325000","213940500"
"114190","강원에너지","KOSDAQ","관리종목(소속부없음)","2500","0","0.00","0","0","0","0","0","65307595000","26123038"
"094480","갤럭시아머니트리","KOSDAQ","우량기업부","7200","-220","-2.96","7250","7310","7060","171227","1230230630","282454833600","39229838"
"011420","갤럭시아에스엠","KOSPI",,"2170","-25","-1.14","2135","2175","2115","162963","348973925","59782727480","27549644"
"039240","경남스틸","KOSDAQ","우량기업부","4315","-120","-2.71","4270","4325","4255","292283","1264112720","116416991260","26979604"
"053950","경남제약","KOSDAQ","중견기업부","2750","-50","-1.79","2750","2775","2695","184418","503079570","84836303750","30849565"
"002100","경농","KOSPI",,"13150","-400","-2.95","13100","13450","13050","113419","1496609700","256721861250","19522575"
"009450","경동나비엔","KOSPI",,"48350","-1150","-2.32","48100","49000","47800","14620","703101000","704391423200","14568592"
"267290","경동도시가스","KOSPI",,"24900","-800","-3.11","25350","25350","24550","41038","1024575800","146795609400","5895406"
"012320","경동인베스트","KOSPI",,"36700","-700","-1.87","37050","37050","36650","1499","55086700","86796344100","2365023"
"011040","경동제약","KOSDAQ","우량기업부","10000","10","0.10","9810","10550","9800","491570","5021631350","307687660000","30768766"
"000050","경방","KOSPI",,"15250","50","0.33","14850","15250","14600","9042","134487150","418082867500","27415270"
"214390","경보제약","KOSPI",,"7810","-200","-2.50","7810","7880","7730","32683","255010670","186712576600","23906860"
"012610","경인양행","KOSPI",,"6730","-150","-2.18","6720","6780","6680","445286","2995107080","279943536450","41596365"
"009140","경인전자","KOSPI",,"27250","-550","-1.98","26800","27500","26200","5228","141239000","42804218250","1570797"
"024910","경창산업","KOSDAQ","중견기업부","2500","-60","-2.34","2500","2550","2455","42173","104700645","89547512500","35819005"
"013580","계룡건설","KOSPI",,"31200","-950","-2.95","31300","31700","30950","66270","2073704800","278644298400","8930907"
"012200","계양전기","KOSPI",,"3585","0","0.00","0","0","0","0","0","116871000000","32600000"
"012205","계양전기우","KOSPI",,"6770","0","0.00","0","0","0","0","0","9478000000","1400000"
"002140","고려산업","KOSPI",,"6090","-280","-4.40","6060","6430","6030","3452078","21446632920","151881098250","24939425"
"198440","고려시멘트","KOSDAQ","우량기업부","3915","-105","-2.61","3835","3920","3805","765034","2958898530","125201543400","31979960"
"049720","고려신용정보","KOSDAQ","우량기업부","8720","-120","-1.36","8800","8800","8660","31486","273941300","124696000000","14300000"
"010130","고려아연","KOSPI",,"561000","4000","0.72","548000","569000","543000","51488","28903852000","10586070000000","18870000"
"002240","고려제강","KOSPI",,"26300","-150","-0.57","25650","26500","25250","110101","2868659400","604900000000","23000000"
"014570","고려제약","KOSDAQ","우량기업부","8580","-150","-1.72","8610","8610","8470","15045","128772360","94380000000","11000000"
"348150","고바이오랩","KOSDAQ","기술성장기업부","15250","-400","-2.56","15100","15400","15050","19805","300873100","256436664750","16815519"
"098460","고영","KOSDAQ","우량기업부","16100","-900","-5.29","16500","16550","16000","478086","7747370900","1105341555500","68654755"
