번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
"1","095570","AJ네트웍스","KOSPI","2018","12","서비스업","1.23",,"1000","100","2.3","8.715","46822295","4682229500"
"2","006840","AK홀딩스","KOSPI","2018","12","기타금융",,,"5000","750","1.37","4.735","13247561","9784121250"
"3","054620","APS홀딩스","KOSDAQ","2018","12","금융","1.01",,"500",,,"19.162","20394221","223617920"
"4","265520","AP시스템","KOSDAQ","2018","12","반도체","1.2",,"500","150","0.7","9.817","14099511","2476534800"
"5","211270","AP위성","KOSDAQ","2018","12","통신장비","0.43",,"500",,,,"15014804",
"6","027410","BGF","KOSPI","2018","12","기타금융",,,"1000","35","0.4","7.071","95369179","3337641020"
"7","282330","BGF리테일","KOSPI","2018","12","유통업","1.44",,"1000","2680","1.3","30.027","17283906","46297040200"
"8","032790","BNGT","KOSDAQ","2018","12","정보기기","0.88",,"500",,,,"14571042",
"9","138930","BNK금융지주","KOSPI","2018","12","기타금융",,,"5000","300","3.9","18.169","325935246","97776117300"
"10","001460","BYC","KOSPI","2018","12","섬유의복","1.32",,"5000","1000","0.4","9.295","624615","845091250"
"11","013720","CBI","KOSDAQ","2018","12","운송장비·부품","0.65",,"500",,,,"8178771",
"12","001040","CJ","KOSPI","2018","12","기타금융",,,"5000","1450","1.1","4.655","29176998","40969251350"
"13","079160","CJ CGV","KOSPI","2018","12","서비스업","1.23",,"500","200","0.5","-2.245","21161313","4232262600"
"14","035760","CJ ENM","KOSDAQ","2018","12","방송서비스","1.07",,"5000","1200","0.58","12.788","21926384","23557245600"
"15","311690","CJ 바이오사이언스","KOSDAQ","2018","12","-",,,,,,,,
"16","000120","CJ대한통운","KOSPI","2018","12","운수창고업","1.02",,"5000",,,,"22812344",
"17","011150","CJ씨푸드","KOSPI","2018","12","음식료품","1.18",,"500",,,,"35930773",
"18","097950","CJ제일제당","KOSPI","2018","12","음식료품","1.18",,"5000","3500","1.1","6.067","15054186","56147490750"
"19","051500","CJ프레시웨이","KOSDAQ","2018","12","유통","0.34",,"1000","200","0.8","14.214","11871586","2374317200"
"20","058820","CMG제약","KOSDAQ","2018","12","제약","0.33",,"500",,,,"108887244",
"21","023460","CNH","KOSDAQ","2018","12","금융","1.01",,"2500","20","1.5","99.733","37200000","732042000"
"22","056730","CNT85","KOSDAQ","2018","12","유통","0.34",,"500",,,,"46163868",
"23","065770","CS","KOSDAQ","2018","12","통신장비","0.43",,"500",,,,"18835150",
"24","083660","CSA 코스믹","KOSDAQ","2018","12","화학","1",,"500",,,,"19747641",
"25","000590","CS홀딩스","KOSPI","2018","12","기타금융",,,"5000","500","0.8","4.538","1154482","573660500"
"26","012030","DB","KOSPI","2018","12","서비스업","1.23",,"500",,,,"201173933",
"27","367340","DB금융스팩8호","KOSDAQ","2018","12","-",,,,,,,,
"28","367360","DB금융스팩9호","KOSDAQ","2018","12","-",,,,,,,,
"29","016610","DB금융투자","KOSPI","2018","12","증권","3.02",,"5000","250","5.5","16.408","42446389","10357222250"
"30","005830","DB손해보험","KOSPI","2018","12","보험","3.16",,"500","2000","2.7","23.541","70800000","126596680000"
"31","000990","DB하이텍","KOSPI","2018","12","전기전자","1.92",,"5000","250","2.4","12.504","44398588","10857470650"
"32","139130","DGB금융지주","KOSPI","2018","12","기타금융",,,"5000","360","4.1","15.877","169145833","60892499880"
"33","000210","DL","KOSPI","2018","12","건설업","1.03",,"5000","1700","1.7","9.705","34800000","65810000000"
"34","001880","DL건설","KOSPI","2018","12","건설업","1.03",,"5000","250","1.71","5.88","15179766","3794848750"
"35","375500","DL이앤씨","KOSPI","2018","12","-",,,,,,,,
"36","068790","DMS","KOSDAQ","2018","12","기계·장비","0.91",,"500","100","2.2","15.154","23032487","2300975700"
"37","007340","DN오토모티브","KOSPI","2018","12","전기전자","1.92",,"500","1000","3.1","14.926","9994005","8727367000"
"38","004840","DRB동일","KOSPI","2018","12","기타금융",,"0.024","500","110","1.6","18.846","19480000","2070460040"
"39","241520","DSC인베스트먼트","KOSDAQ","2018","12","금융","1.01",,"500",,,,"17500000",
"40","155660","DSR","KOSPI","2018","12","철강금속","2.47",,"500","50","1.3","9.976","16000000","800000000"
"41","069730","DSR제강","KOSPI","2018","12","철강금속","2.47",,"500","40","0.9","7.797","14400000","576000000"
"42","017940","E1","KOSPI","2018","12","유통업","1.44",,"5000","2000","3.5","14.593","6860000","11563502000"
"43","245620","EDGC","KOSDAQ","2018","12","기타서비스","0.47",,"100",,,,"36172940",
"44","037370","EG","KOSDAQ","2018","12","유통","0.34",,"1000","0","0","0","7500000","0"
"45","278990","EMB","KONEX","2018","12","-",,,"500",,,,"3624222",
"46","050120","ES큐브","KOSDAQ","2018","12","유통","0.34",,"500",,,,"83243054",
"47","084180","EV수성","KOSDAQ","2018","12","기계·장비","0.91",,"500",,,,"10871040",
"48","383220","F&F","KOSPI","2018","12","-",,,,,,,,
"49","007700","F&F 홀딩스","KOSPI","2018","12","섬유의복","1.32",,"500","650","1.62","9.158","15400000","10010000000"
"50","214270","FSN","KOSDAQ","2018","12","출판·매체복제","0.37",,"100",,,,"87842969",
"51","130500","GH신소재","KOSDAQ","2018","12","섬유·의류","0.38",,"500",,,,"11000000",
"52","114090","GKL","KOSPI","2018","12","서비스업","1.23",,"500","710","2.29","46.149","61855670","35876288600"
"53","078930","GS","KOSPI","2018","12","기타금융",,,"5000","1900","3.6","17.465","92915378","179971808700"
"54","083450","GST","KOSDAQ","2018","12","반도체","1.2",,"500",,,,"9317745",
"55","006360","GS건설","KOSPI","2018","12","건설업","1.03",,"5000","1000","2.3","13.405","79297048","78743202000"
"56","001250","GS글로벌","KOSPI","2018","12","유통업","1.44",,"2500","25","1","9.794","82533764","2062380050"
"57","007070","GS리테일","KOSPI","2018","12","유통업","1.44",,"1000","650","1.6","37.82","77000000","50050000000"
"58","297890","HB솔루션","KOSDAQ","2018","12","-",,,,,,,,
