번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
"1","095570","AJ네트웍스","KOSPI","2019","12","서비스업","1.04",,"1000","300","6.1","33.342","46822295","14046688500"
"2","006840","AK홀딩스","KOSPI","2019","12","기타금융",,,"5000","750","2.2","17.052","13247561","9784121250"
"3","054620","APS홀딩스","KOSDAQ","2019","12","금융","1.05",,"500",,,,"20394221",
"4","265520","AP시스템","KOSDAQ","2019","12","반도체","0.85",,"500","50","0.1","11.671","14480227","1103050120"
"5","211270","AP위성","KOSDAQ","2019","12","통신장비","0.34",,"500","70","1","138.288","15014804","985992070"
"6","027410","BGF","KOSPI","2019","12","기타금융",,,"1000","110","2","60.108","95716791","10527964370"
"7","282330","BGF리테일","KOSPI","2019","12","유통업","1.67",,"1000","2700","1.6","30.812","17283906","46642540500"
"8","032790","BNGT","KOSDAQ","2019","12","정보기기","1.13",,"500",,,,"17067619",
"9","138930","BNK금융지주","KOSPI","2019","12","기타금융",,,"5000","360","4.6","19.59","325935246","117331340760"
"10","001460","BYC","KOSPI","2019","12","섬유의복","1.32",,"5000","1100","0.5","3.342","624615","928550450"
"11","013720","CBI","KOSDAQ","2019","12","운송장비·부품","0.41",,"500",,,,"8178771",
"12","001040","CJ","KOSPI","2019","12","기타금융",,,"5000","1850","1.9","19.19","29176998","62145199700"
"13","079160","CJ CGV","KOSPI","2019","12","서비스업","1.04",,"500",,,,"21161313",
"14","035760","CJ ENM","KOSDAQ","2019","12","방송서비스","1.43",,"5000","1400","0.9","46.894","21929154","27487500600"
"15","311690","CJ 바이오사이언스","KOSDAQ","2019","12","기타서비스","0.64",,"500",,,,"3808948",
"16","000120","CJ대한통운","KOSPI","2019","12","운수창고업","1.02",,"5000",,,,"22812344",
"17","011150","CJ씨푸드","KOSPI","2019","12","음식료품","1.39",,"500",,,,"35930773",
"18","097950","CJ제일제당","KOSPI","2019","12","음식료품","1.39",,"5000","3500","1.4","29.392","15054186","56147473200"
"19","051500","CJ프레시웨이","KOSDAQ","2019","12","유통","0.38",,"1000","250","0.9","30.958","11871586","2967896500"
"20","058820","CMG제약","KOSDAQ","2019","12","제약","0.3",,"500",,,,"138892244",
"21","023460","CNH","KOSDAQ","2019","12","금융","1.05",,"2500","30","1.5","6.787","37200000","1077751410"
"22","056730","CNT85","KOSDAQ","2019","12","유통","0.38",,"500",,,,"46163868",
"23","065770","CS","KOSDAQ","2019","12","통신장비","0.34",,"500",,,,"18835150",
"24","083660","CSA 코스믹","KOSDAQ","2019","12","화학","0.74",,"500",,,,"19747641",
"25","000590","CS홀딩스","KOSPI","2019","12","기타금융",,,"5000","500","0.9","3.455","1154482","573660500"
"26","012030","DB","KOSPI","2019","12","서비스업","1.04",,"500",,,,"201173933",
"27","367340","DB금융스팩8호","KOSDAQ","2019","12","-",,,,,,,,
"28","367360","DB금융스팩9호","KOSDAQ","2019","12","-",,,,,,,,
"29","016610","DB금융투자","KOSPI","2019","12","증권","3.15",,"5000","250","5.7","17.737","42446389","10357222250"
"30","005830","DB손해보험","KOSPI","2019","12","보험","3.8",,"500","1500","2.7","24.838","70800000","94947510000"
"31","000990","DB하이텍","KOSPI","2019","12","전기전자","2.14",,"5000","350","1.31","14.531","44398588","15204861500"
"32","139130","DGB금융지주","KOSPI","2019","12","기타금융",,,"5000","410","5.5","19.109","169145833","69349791120"
"33","000210","DL","KOSPI","2019","12","건설업","1.87",,"5000","1300","1.4","7.091","34800000","50370000000"
"34","001880","DL건설","KOSPI","2019","12","건설업","1.87",,"5000","400","2.05","6.385","15179766","6071758000"
"35","375500","DL이앤씨","KOSPI","2019","12","-",,,,,,,,
"36","068790","DMS","KOSDAQ","2019","12","기계·장비","0.86",,"500","75","1.4","9.62","23042487","1658151750"
"37","007340","DN오토모티브","KOSPI","2019","12","전기전자","2.14",,"500","1500","5.1","19.17","9994005","13091050500"
"38","004840","DRB동일","KOSPI","2019","12","기타금융",,,"500","100","1.9","14.297","19930000","1927236400"
"39","241520","DSC인베스트먼트","KOSDAQ","2019","12","금융","1.05",,"500",,,,"18119383",
"40","155660","DSR","KOSPI","2019","12","철강금속","3.04",,"500","50","1.1","9.106","16000000","800000000"
"41","069730","DSR제강","KOSPI","2019","12","철강금속","3.04",,"500","40","0.87","8.524","14400000","576000000"
"42","017940","E1","KOSPI","2019","12","유통업","1.67",,"5000","2200","4.5","-24.274","6860000","12719852200"
"43","245620","EDGC","KOSDAQ","2019","12","기타서비스","0.64",,"100",,,,"36172940",
"44","037370","EG","KOSDAQ","2019","12","유통","0.38",,"1000",,,,"7500000",
"45","278990","EMB","KONEX","2019","12","-",,,"500",,,,"3624222",
"46","050120","ES큐브","KOSDAQ","2019","12","유통","0.38",,"500",,,,"82776729",
"47","084180","EV수성","KOSDAQ","2019","12","기계·장비","0.86",,"500",,,,"13171214",
"48","383220","F&F","KOSPI","2019","12","-",,,,,,,,
"49","007700","F&F 홀딩스","KOSPI","2019","12","섬유의복","1.32",,"500","1000","0.93","13.95","15400000","15337382000"
"50","214270","FSN","KOSDAQ","2019","12","출판·매체복제","0.4",,"100",,,,"94884239",
"51","130500","GH신소재","KOSDAQ","2019","12","섬유·의류","0.58",,"500",,,,"11000000",
"52","114090","GKL","KOSPI","2019","12","서비스업","1.04",,"500","659","3.4","56.305","61855670","40762886530"
"53","078930","GS","KOSPI","2019","12","기타금융",,,"5000","1900","3.6","26.904","92915378","179971808700"
"54","083450","GST","KOSDAQ","2019","12","반도체","0.85",,"500","200","2.03","9.9","9317745","1778849000"
"55","006360","GS건설","KOSPI","2019","12","건설업","1.87",,"5000","1000","3.1","17.745","80097804","79405209000"
"56","001250","GS글로벌","KOSPI","2019","12","유통업","1.67",,"2500",,,,"82533764",
"57","007070","GS리테일","KOSPI","2019","12","유통업","1.67",,"1000","750","1.9","40.209","77000000","57750000000"
"58","297890","HB솔루션","KOSDAQ","2019","12","-",,,,,,,,
"59","078150","HB테크놀러지","KOSDAQ","2019","12","기계·장비","0.86",,"500","20","0.7","20.862","78990426","1538589020"
"60","012630","HDC","KOSPI","2019","12","기타금융",,,"5000","200","1.8","4.182","59741721","11504413000"
"61","039570","HDC랩스","KOSPI","2019","12","건설업","1.87",,"500","350","3.2","-97.694","16460000","5761000000"
"62","089470","HDC현대EP","KOSPI","2019","12","화학","1.96",,"500","120","2.4","26.331","31900000","3468000000"
"63","294870","HDC현대산업개발","KOSPI","2019","12","건설업","1.87",,"5000","500","1.9","5.31","43938220","21964375000"
"64","267250","HD현대","KOSPI","2019","12","화학","1.96",,"5000","18500","5.16","234.511","16286617","270501191000"
"65","097230","HJ중공업","KOSPI","2019","12","건설업","1.87",,"5000",,,,"83274281",
"66","195940","HK이노엔","KOSDAQ","2019","12","-",,,,,,,,
"67","028300","HLB","KOSDAQ","2019","12","운송장비·부품","0.41",,"500",,,,"42738918",
"68","003580","HLB글로벌","KOSPI","2019","12","광업",,,"500",,,,"28434137",
"69","343090","HLB사이언스","KONEX","2019","12","-",,,,,,,,
"70","067630","HLB생명과학","KOSDAQ","2019","12","기타서비스","0.64",,"500",,,,"47057453",
"71","047920","HLB제약","KOSDAQ","2019","12","기타서비스","0.64",,"500",,,,"13848373",
"72","115450","HLB테라퓨틱스","KOSDAQ","2019","12","소프트웨어","0.75",,"500",,,,"25011044",
"73","011200","HMM","KOSPI","2019","12","운수창고업","1.02",,"5000",,,,"316552195",
"74","036640","HRS","KOSDAQ","2019","12","화학","0.74",,"500",,,,"16354800",
"75","082740","HSD엔진","KOSPI","2019","12","기계","1.84",,"1000",,,,"32947142",
"76","335870","IBKS제12호스팩","KOSDAQ","2019","12","금융","1.05",,"100",,,,"3120000",
"77","351340","IBKS제13호스팩","KOSDAQ","2019","12","-",,,,,,,,
"78","388790","IBKS제16호스팩","KOSDAQ","2019","12","-",,,,,,,,
"79","405350","IBKS제17호스팩","KOSDAQ","2019","12","-",,,,,,,,
"80","095340","ISC","KOSDAQ","2019","12","반도체","0.85",,"500","50","0.5","21.885","14142508","696156500"
"81","099520","ITX-AI","KOSDAQ","2019","12","통신장비","0.34",,"500",,,,"16466131",
"82","175330","JB금융지주","KOSPI","2019","12","기타금융",,,"5000","300","5.3","16.099","196982894","58303222800"
"83","234080","JW생명과학","KOSPI","2019","12","의약품","0.21",,"2500","500","2.55","36.089","15834554","7917277000"
"84","067290","JW신약","KOSDAQ","2019","12","제약","0.3",,"500","60","1.27","172.636","41667166","2492862420"
"85","001060","JW중외제약","KOSPI","2019","12","의약품","0.21",,"2500","325","1.1","-27.513","20318022","6953836775"
"86","096760","JW홀딩스","KOSPI","2019","12","기타금융",,,"500","90","1.42","-18.313","64520904","5793755760"
"87","035900","JYP Ent.","KOSDAQ","2019","12","오락·문화","0.22",,"500","155","0.671","16.431","35494992","5129812110"
"88","318000","KBG","KOSDAQ","2019","12","화학","0.74",,"200","50","0.75","-28.932","8129825","406491250"
"89","024840","KBI메탈","KOSDAQ","2019","12","금속","1.3",,"500",,,,"32950848",
"90","105560","KB금융","KOSPI","2019","12","기타금융",,,"5000","2210","4.5","25.99","415807920","861091880350"
"91","024120","KB오토시스","KOSDAQ","2019","12","운송장비·부품","0.41",,"500","230","3.7","24.738","11500000","2645000000"
"92","021320","KCC건설","KOSDAQ","2019","12","건설","1.97",,"5000","150","2.3","11.371","21400000","3210000000"
"93","036670","KCI","KOSDAQ","2019","12","화학","0.74",,"500","200","2","18.853","11270000","2152040000"
"94","009440","KC그린홀딩스","KOSPI","2019","12","기타금융",,,"500","60","1.23","9.265","22434980","1327498800"
"95","112190","KC산업","KONEX","2019","12","-",,,"500",,,,"7125253",
"96","119650","KC코트렐","KOSPI","2019","12","기계","1.84",,"500","30","0.44","57.864","13000000","390000000"
"97","044180","KD","KOSDAQ","2019","12","건설","1.97",,"500",,,,"78353304",
"98","092220","KEC","KOSPI","2019","12","전기전자","2.14",,"500",,,,"116706940",
"99","151860","KG ETS","KOSDAQ","2019","12","기타서비스","0.64",,"500","110","3.29","3.945","36000000","3857195980"
"100","046440","KG모빌리언스","KOSDAQ","2019","12","소프트웨어","0.75",,"500","200","3.2","32.942","29906957","5799835400"
"101","016380","KG스틸","KOSPI","2019","12","철강금속","3.04",,"5000",,,,"100008897",
"102","035600","KG이니시스","KOSDAQ","2019","12","소프트웨어","0.75",,"500","330","2.05","14.634","27904434","8784101040"
"103","001390","KG케미칼","KOSPI","2019","12","화학","1.96",,"5000","350","3","2.044","13013232","4484312700"
"104","226360","KH 건설","KOSDAQ","2019","12","건설","1.97",,"100",,,,"29352025",
"105","111870","KH 전자","KOSDAQ","2019","12","일반전기전자","0.5",,"500",,,,"61964959",
"106","033180","KH 필룩스","KOSPI","2019","12","전기전자","2.14",,"500",,,,"79542716",
"107","060720","KH바텍","KOSDAQ","2019","12","IT부품","0.62",,"500",,,,"23122530",
"108","001940","KISCO홀딩스","KOSPI","2019","12","철강금속","3.04",,"1000","280","2.2","6.81","18476380","4282801600"
"109","122450","KMH","KOSDAQ","2019","12","방송서비스","1.43",,"500","70","1.3","6.441","22639663","1584740500"
"110","052900","KMH하이텍","KOSDAQ","2019","12","반도체","0.85",,"500",,,,"46885499",
"111","058400","KNN","KOSDAQ","2019","12","방송서비스","1.43",,"500","20","1.69","32.594","132429720","2648594400"
"112","114450","KPX생명과학","KOSDAQ","2019","12","제약","0.3",,"500",,,,"15000000",
"113","025000","KPX케미칼","KOSPI","2019","12","화학","1.96",,"5000","2500","4.4","28.199","4840000","11888052500"
"114","092230","KPX홀딩스","KOSPI","2019","12","화학","1.96",,"5000","2600","4.7","14.021","4224646","10623329600"
"115","000040","KR모터스","KOSPI","2019","12","운수장비","1.7",,"500",,,,"189444075",
"116","044450","KSS해운","KOSPI","2019","12","운수창고업","1.02",,"500","270","3.51","26.083","23185880","6063964020"
"117","058850","KTcs","KOSPI","2019","12","서비스업","1.04",,"500","80","3.15","44.423","42685000","3345040000"
"118","058860","KTis","KOSPI","2019","12","서비스업","1.04",,"500","90","3.86","33.08","34802000","3044388600"
"119","060370","KT서브마린","KOSDAQ","2019","12","건설","1.97",,"1000","30","0.67","126.877","21900000","616623750"
"120","093050","LF","KOSPI","2019","12","섬유의복","1.32",,"5000","500","2.7","21.051","29240000","14620000000"
"121","003550","LG","KOSPI","2019","12","기타금융",,,"5000","2200","2.9","34.955","172557131","386862053150"
"122","034220","LG디스플레이","KOSPI","2019","12","전기전자","2.14",,"5000",,,,"357815700",
"123","051900","LG생활건강","KOSPI","2019","12","화학","1.96",,"5000","11000","0.9","23.399","15618197","184421296950"
"124","373220","LG에너지솔루션","KOSPI","2019","12","-",,,,,,,,
"125","032640","LG유플러스","KOSPI","2019","12","통신업","3.55",,"5000","400","2.8","39.798","436611361","174644543200"
"126","011070","LG이노텍","KOSPI","2019","12","전기전자","2.14",,"5000","300","0.22","6.94","23667107","7099352100"
"127","066570","LG전자","KOSPI","2019","12","전기전자","2.14",,"5000","750","1","75.527","163647814","135908520750"
"128","037560","LG헬로비전","KOSPI","2019","12","서비스업","1.04",,"2500","75","1.2","-6.164","77446865","5808514875"
"129","051910","LG화학","KOSPI","2019","12","화학","1.96",,"5000","2000","0.6","40.842","70592343","153608339650"
"130","079550","LIG넥스원","KOSPI","2019","12","기계","1.84",,"5000","600","1.9","414.443","22000000","13200000000"
"131","006260","LS","KOSPI","2019","12","기타금융",,,"5000","1450","3","43.375","32200000","40262252950"
"132","000680","LS네트웍스","KOSPI","2019","12","유통업","1.67",,"5000",,,,"78803016",
"133","229640","LS전선아시아","KOSPI","2019","12","기타금융",,,"500","180","2.3","32.257","30624879","5512478220"
"134","108320","LX세미콘","KOSDAQ","2019","12","반도체","0.85",,"500","830","2.1","35.028","16264300","13499369000"
"135","001120","LX인터내셔널","KOSPI","2019","12","유통업","1.67",,"5000","300","2","-78.042","38760000","11597774700"
"136","108670","LX하우시스","KOSPI","2019","12","화학","1.96",,"5000","250","0.4","22.018","8967670","2546429850"
"137","383800","LX홀딩스","KOSPI","2019","12","-",,,,,,,,
"138","023150","MH에탄올","KOSPI","2019","12","음식료품","1.39",,"500","350","5.6","-30.164","7378526","2277984100"
"139","035420","NAVER","KOSPI","2019","12","서비스업","1.04",,"100","376","0.2","13.782","164813395","54688370920"
"140","160550","NEW","KOSDAQ","2019","12","오락·문화","0.22",,"500",,,,"27906106",
"141","053290","NE능률","KOSDAQ","2019","12","출판·매체복제","0.4",,"500",,,,"14254958",
"142","104200","NHN벅스","KOSDAQ","2019","12","디지털컨텐츠","0.37",,"500",,,,"14827550",
"143","060250","NHN한국사이버결제","KOSDAQ","2019","12","소프트웨어","0.75",,"500","230","1","20.374","22971393","4986816990"
"144","005940","NH투자증권","KOSPI","2019","12","증권","3.15",,"5000","500","3.8","31.643","281408887","150741640400"
"145","034310","NICE","KOSPI","2019","12","서비스업","1.04",,"500","230","1.1","11.218","37882300","8712929000"
"146","030190","NICE평가정보","KOSDAQ","2019","12","기타서비스","0.64",,"500","230","1.7","33.717","60714820","13750042390"
"147","008260","NI스틸","KOSPI","2019","12","철강금속","3.04",,"500","50","2.24","22.281","28600117","1430005850"
"148","010060","OCI","KOSPI","2019","12","화학","1.96",,"5000",,,,"23849371",
"149","178920","PI첨단소재","KOSPI","2019","12","화학","0.74",,"500","315","0.9","52.209","29366322","9250391430"
"150","024940","PN풍년","KOSDAQ","2019","12","금속","1.3",,"500","25","1.1","4.334","10000000","234967000"
"151","005490","POSCO홀딩스","KOSPI","2019","12","철강금속","3.04",,"5000","10000","4.1","40.409","87186835","801156410000"
"152","218410","RFHIC","KOSDAQ","2019","12","일반전기전자","0.5",,"500","200","0.57","23.643","23742302","4767420400"
"153","327260","RF머트리얼즈","KOSDAQ","2019","12","기타제조","0.85",,"500",,,,"3465288",
"154","091340","S&K폴리텍","KOSDAQ","2019","12","IT부품","0.62",,"500",,,,"11703721",
"155","010950","S-Oil","KOSPI","2019","12","화학","1.96",,"2500","200","0.2","35.734","112582792","23380073975"
"156","019550","SBI인베스트먼트","KOSDAQ","2019","12","금융","1.05",,"500",,,,"162066575",
"157","034120","SBS","KOSPI","2019","12","서비스업","1.04",,"5000","150","0.7","12.676","18252582","2653510200"
"158","046140","SBS콘텐츠허브","KOSDAQ","2019","12","오락·문화","0.22",,"500",,,,"21463555",
"159","151910","SBW생명과학","KOSDAQ","2019","12","IT부품","0.62",,"100",,,,"111344647",
"160","036120","SCI평가정보","KOSDAQ","2019","12","기타서비스","0.64",,"500","69","2.8","46.677","35500000","2386574070"
"161","099220","SDN","KOSDAQ","2019","12","유통","0.38",,"500",,,,"46305180",
"162","036540","SFA반도체","KOSDAQ","2019","12","반도체","0.85",,"500",,,,"142292274",
"163","255220","SG","KOSDAQ","2019","12","비금속","0.8",,"100",,,,"36720027",
"164","040610","SG&G","KOSDAQ","2019","12","운송장비·부품","0.41",,"500",,,,"34087196",
"165","049470","SGA","KOSDAQ","2019","12","소프트웨어","0.75",,"1000",,,,"48362249",
"166","184230","SGA솔루션즈","KOSDAQ","2019","12","소프트웨어","0.75",,"100",,,,"36676033",
"167","005090","SGC에너지","KOSPI","2019","12","비금속광물","3.32",,"5000","1000","3.3","1047.491","4854418","4472788200"
"168","016250","SGC이테크건설","KOSDAQ","2019","12","건설","1.97",,"5000","1500","2.1","12.454","2800000","3926365500"
"169","001380","SG글로벌","KOSPI","2019","12","운수장비","1.7",,"500",,,,"44964143",
"170","004060","SG세계물산","KOSPI","2019","12","유통업","1.67",,"500",,,,"202424960",
"171","001770","SHD","KOSPI","2019","12","철강금속","3.04",,"5000","100","0.4","12.616","1214878","121487800"
"172","002360","SH에너지화학","KOSPI","2019","12","화학","1.96",,"500",,,,"111133730",
"173","009160","SIMPAC","KOSPI","2019","12","기계","1.84",,"500","60","2.1","38.286","65429516","3632593800"
"174","034730","SK","KOSPI","2019","12","기타금융",,,"200","5000","1.9","16.668","70360297","267891535850"
"175","337450","SK5호스팩","KOSDAQ","2019","12","금융","1.05",,"100",,,,"4310000",
"176","340350","SK6호스팩","KOSDAQ","2019","12","-",,,,,,,,
"177","011790","SKC","KOSPI","2019","12","화학","1.96",,"5000","1000","2","52.559","37534555","35420554000"
"178","018670","SK가스","KOSPI","2019","12","유통업","1.67","0.01","5000","3000","3.4","17.22","9141781","26539161000"
"179","001740","SK네트웍스","KOSPI","2019","12","유통업","1.67",,"2500","120","1.99","-23.555","248187647","28881341190"
"180","006120","SK디스커버리","KOSPI","2019","12","기타금융",,,"5000","700","2.8","5.73","19037855","14335743600"
"181","210980","SK디앤디","KOSPI","2019","12","서비스업","1.04",,"1000","600","2.06","25.374","18990164","11393714400"
"182","068400","SK렌터카","KOSPI","2019","12","서비스업","1.04",,"500",,,,"22146300",
"183","302440","SK바이오사이언스","KOSPI","2019","12","-",,,,,,,,
"184","402340","SK스퀘어","KOSPI","2019","12","-",,,,,,,,
"185","260870","SK시그넷","KONEX","2019","12","-",,,"500",,,,"4757601",
"186","361610","SK아이이테크놀로지","KOSPI","2019","12","-",,,,,,,,
"187","096770","SK이노베이션","KOSPI","2019","12","화학","1.96",,"5000","3000","1.9","402.428","92465564","264697077500"
"188","001510","SK증권","KOSPI","2019","12","증권","3.15",,"500","10","1.66","14.963","472590171","4671749740"
"189","285130","SK케미칼","KOSPI","2019","12","화학","1.96",,"5000","450","0.7","119.614","11741396","6007015200"
"190","017670","SK텔레콤","KOSPI","2019","12","통신업","3.55",,"500","10000","4.1","84.704","80745711","730097860000"
"191","000660","SK하이닉스","KOSPI","2019","12","전기전자","2.14",,"5000","1000","1.1","33.922","728002365","684001795000"
"192","048550","SM C&C","KOSDAQ","2019","12","방송서비스","1.43",,"500",,,,"94061026",
"193","063440","SM Life Design","KOSDAQ","2019","12","출판·매체복제","0.4",,"500",,,,"45029154",
"194","064960","SNT모티브","KOSPI","2019","12","운수장비","1.7",,"5000","1400","3.3","523.11","14623136","19349841000"
"195","100840","SNT에너지","KOSPI","2019","12","기계","1.84",,"500","800","4.1","37.244","7506711","5754960800"
"196","003570","SNT중공업","KOSPI","2019","12","운수장비","1.7",,"2500","300","4.5","48.219","33252697","8026018800"
"197","036530","SNT홀딩스","KOSPI","2019","12","기타금융",,,"500","500","3.3","6.086","16303886","7577903000"
"198","005610","SPC삼립","KOSPI","2019","12","음식료품","1.39",,"5000","1104","1.3","29.162","8629009","5901855792"
"199","011810","STX","KOSPI","2019","12","유통업","1.67",,"2500",,,,"19726902",
"200","077970","STX엔진","KOSPI","2019","12","기계","1.84",,"2500",,,,"23008904",
"201","071970","STX중공업","KOSPI","2019","12","기계","1.84",,"2500",,,,"28081731",
"202","002820","SUN&L","KOSPI","2019","12","종이목재","2.57",,"1000",,,,"12607989",
"203","002710","TCC스틸","KOSPI","2019","12","철강금속","3.04","0.031","1000","30","1","12.708","22342500","640089630"
"204","089230","THE E&M","KOSDAQ","2019","12","인터넷","0.68",,"100",,,,"114135272",
"205","161570","THE MIDONG","KOSDAQ","2019","12","정보기기","1.13",,"500",,,,"13791786",
"206","192410","THQ","KOSDAQ","2019","12","통신장비","0.34",,"500",,,,"24435800",
"207","032540","TJ미디어","KOSDAQ","2019","12","일반전기전자","0.5",,"500","50","1.5","77.226","13931609","696580450"
"208","022220","TKG애강","KOSDAQ","2019","12","화학","0.74",,"500",,,,"51794579",
"209","048770","TPC","KOSDAQ","2019","12","기계·장비","0.86",,"500","15","0.38","-4.962","13429618","201444270"
"210","246690","TS인베스트먼트","KOSDAQ","2019","12","금융","1.05",,"500","25","1","12.642","22421004","560525100"
"211","317240","TS트릴리온","KOSDAQ","2019","12","금융","1.05",,"100",,,,"4400000",
"212","002900","TYM","KOSPI","2019","12","기계","1.84",,"500",,,,"115388900",
"213","038340","UCI","KOSDAQ","2019","12","기타서비스","0.64",,"500",,,,"33115421",
"214","073570","WI","KOSDAQ","2019","12","반도체","0.85",,"500",,,,"14241730",
