번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
"215","024070","WISCOM","KOSPI","2019","12","화학","1.96",,"500","50","1.8","71.22","15326438","766321900"
"216","057030","YBM넷","KOSDAQ","2019","12","기타서비스","0.64",,"500",,,,"16312697",
"217","037270","YG PLUS","KOSPI","2019","12","기타제조업",,,"500",,,,"58170704",
"218","040300","YTN","KOSDAQ","2019","12","방송서비스","1.43",,"1000","10","0.4","-27.723","42000000","420000000"
"219","051390","YW","KOSDAQ","2019","12","유통","0.38",,"500","50","1.3","22.762","11355368","450455250"
"220","052220","iMBC","KOSDAQ","2019","12","디지털컨텐츠","0.37",,"500",,,,"23000000",
"221","079940","가비아","KOSDAQ","2019","12","인터넷","0.68",,"500","40","0.5","2.471","13535684","521412720"
"222","078890","가온미디어","KOSDAQ","2019","12","통신장비","0.34","0.02","500","100","1.2","8.139","14784585","1448541400"
"223","000500","가온전선","KOSPI","2019","12","전기전자","2.14",,"5000","600","2.4","43.175","4160347","2358629400"
"224","399720","가온칩스","KOSDAQ","2019","12","-",,,,,,,,
"225","036620","감성코퍼레이션","KOSDAQ","2019","12","유통","0.38",,"500",,,,"53021162",
"226","000860","강남제비스코","KOSPI","2019","12","화학","1.96",,"1000","500","2.5","18.664","6500000","3250000000"
"227","217730","강스템바이오텍","KOSDAQ","2019","12","제약","0.3",,"500",,,,"20849437",
"228","035250","강원랜드","KOSPI","2019","12","서비스업","1.04",,"500","900","3","54.524","213940500","182465098200"
"229","114190","강원에너지","KOSDAQ","2019","12","금속","1.3",,"500",,,,"17443674",
"230","094480","갤럭시아머니트리","KOSDAQ","2019","12","소프트웨어","0.75",,"500","55","1.6","23.58","39229838","2084006760"
"231","011420","갤럭시아에스엠","KOSPI","2019","12","서비스업","1.04",,"500",,,,"27549644",
"232","039240","경남스틸","KOSDAQ","2019","12","금속","1.3",,"100","90","4.9","48.512","25000000","2250000000"
"233","053950","경남제약","KOSDAQ","2019","12","제약","0.3",,"500",,,,"17053462",
"234","002100","경농","KOSPI","2019","12","화학","1.96",,"500","220","1.9","97.888","21691750","3930223000"
"235","009450","경동나비엔","KOSPI","2019","12","전기전자","2.14",,"1000","300","0.64","13.597","12739510","3787155000"
"236","267290","경동도시가스","KOSPI","2019","12","전기가스업","0.67",,"2500","875","4.1","20.919","5895406","5154123625"
"237","012320","경동인베스트","KOSPI","2019","12","광업",,,"5000","500","1.4","12.75","2365023","1129116000"
"238","011040","경동제약","KOSDAQ","2019","12","제약","0.3",,"500","400","5.1","41.484","26550000","9471301600"
"239","000050","경방","KOSPI","2019","12","유통업","1.67",,"500","125","1.31","7.569","27415270","3301908750"
"240","214390","경보제약","KOSPI","2019","12","의약품","0.21",,"500","100","1.2","45.235","23906860","2390686000"
"241","012610","경인양행","KOSPI","2019","12","화학","1.96",,"500","50","0.6","12.425","40786365","2034338250"
"242","009140","경인전자","KOSPI","2019","12","전기전자","2.14",,"5000","250","1.2","136.863","1570797","332578250"
"243","024910","경창산업","KOSDAQ","2019","12","운송장비·부품","0.41",,"500",,,,"35819005",
"244","013580","계룡건설산업","KOSPI","2019","12","건설업","1.87",,"5000","600","3.1","7.128","8930907","5314678200"
"245","012200","계양전기","KOSPI","2019","12","기계","1.84",,"500","35","1.2","927.907","32600000","1197000000"
"246","002140","고려산업","KOSPI","2019","12","음식료품","1.39",,"1000","30","0.9","15.651","24939425","740142600"
"247","198440","고려시멘트","KOSDAQ","2019","12","비금속","0.8",,"100","15","0.5","14.125","31979960","479699400"
"248","049720","고려신용정보","KOSDAQ","2019","12","기타서비스","0.64",,"500","250","4.9","52.489","14300000","3475316500"
"249","010130","고려아연","KOSPI","2019","12","철강금속","3.04",,"5000","14000","3.26","38.746","18870000","247439360000"
"250","002240","고려제강","KOSPI","2019","12","철강금속","3.04",,"1000","350","1.7","115.517","20000000","6998034400"
"251","014570","고려제약","KOSDAQ","2019","12","제약","0.3",,"500","100","1.42","27.971","11000000","1089460100"
"252","348150","고바이오랩","KOSDAQ","2019","12","-",,,,,,,,
"253","098460","고영","KOSDAQ","2019","12","기계·장비","0.86",,"500","550","0.5","25.132","13717951","7428890150"
"254","035290","골드앤에스","KOSDAQ","2019","12","출판·매체복제","0.4",,"500",,,,"2570137",
"255","038530","골드퍼시픽","KOSDAQ","2019","12","유통","0.38",,"500",,,,"33858959",
"256","900280","골든센츄리","KOSDAQ","2019","12","금융","1.05",,"0.2",,,,"158780000",
"257","215000","골프존","KOSDAQ","2019","12","소프트웨어","0.75",,"500","2050","3","79.305","6275415","12858563500"
"258","121440","골프존뉴딘홀딩스","KOSDAQ","2019","12","유통","0.38",,"500","117","3.3","-14.356","42836818","5002826634"
"259","183410","골프존데카","KONEX","2019","12","-",,,"500",,,,"4111161",
"260","366030","공구우먼","KOSDAQ","2019","12","-",,,,,,,,
"261","076340","관악산업","KONEX","2019","12","-",,,"500","60","1.3","7.153","4871460","292287600"
"262","009290","광동제약","KOSPI","2019","12","의약품","0.21",,"1000","80","1.2","13.976","52420851","3166448960"
"263","014200","광림","KOSDAQ","2019","12","운송장비·부품","0.41",,"500",,,,"52922234",
"264","017040","광명전기","KOSPI","2019","12","전기전자","2.14",,"500","15","0.66","9.133","43337615","650064225"
"265","029480","광무","KOSDAQ","2019","12","통신장비","0.34",,"100",,,,"50855285",
"266","017900","광전자","KOSPI","2019","12","전기전자","2.14",,"500","50","2.34","0","57943763","2568188150"
"267","037710","광주신세계","KOSPI","2019","12","유통업","1.67",,"5000","3500","2.11","11.685","1600000","5570033000"
"268","026910","광진실업","KOSDAQ","2019","12","금속","1.3",,"500",,,,"6405405",
