번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
"1521","032940","원익","KOSDAQ","2021","12","유통","0.36",,"500",,,,"18193230",
"1522","240810","원익IPS","KOSDAQ","2021","12","반도체","0.42",,"500","300","0.7","9.978","49083901","14479259700"
"1523","074600","원익QnC","KOSDAQ","2021","12","비금속","0.88",,"500","150","0.5","6.309","26288000","3943200000"
"1524","104830","원익머트리얼즈","KOSDAQ","2021","12","반도체","0.42",,"500","400","1.1","9.552","12608000","5043200000"
"1525","014190","원익큐브","KOSDAQ","2021","12","유통","0.36",,"500",,,,"35399906",
"1526","131390","원익피앤이","KOSDAQ","2021","12","일반전기전자","0.23",,"500",,,,"14818910",
"1527","030530","원익홀딩스","KOSDAQ","2021","12","기계·장비","0.53",,"500",,,,"77237981",
"1528","012620","원일특강","KOSDAQ","2021","12","금속","0.87",,"500","250","1.8","5.86","4400000","1100000000"
"1529","382840","원준","KOSDAQ","2021","12","기계·장비","0.53",,"100",,,,"5020191",
"1530","336570","원텍","KOSDAQ","2021","12","금융","1.34",,"100",,,,"5610000",
"1531","376980","원티드랩","KOSDAQ","2021","12","소프트웨어","0.32",,"500",,,,"9406136",
"1532","122830","원포유","KONEX","2021","12","-",,,"500",,,,"6550397",
"1533","008370","원풍","KOSDAQ","2021","12","화학","0.41",,"500","170","3.24","38.881","12000000","2017900000"
"1534","008290","원풍물산","KOSDAQ","2021","12","섬유·의류","0.7",,"500",,,,"40693679",
"1535","101160","월덱스","KOSDAQ","2021","12","반도체","0.42",,"500","60","0.2","2.963","16510993","990659580"
"1536","336060","웨이버스","KOSDAQ","2021","12","금융","1.34",,"100",,,,"5930000",
"1537","095270","웨이브일렉트로","KOSDAQ","2021","12","IT부품","0.36",,"500",,,,"14971256",
"1538","010600","웰바이오텍","KOSPI","2021","12","유통업","1.59",,"500",,,,"58677244",
"1539","065950","웰크론","KOSDAQ","2021","12","섬유·의류","0.7",,"500","50","1.08","17.672","28231302","1370998250"
"1540","076080","웰크론한텍","KOSDAQ","2021","12","건설","1.48",,"500",,,,"20816746",
"1541","196700","웹스","KOSDAQ","2021","12","화학","0.41",,"500",,,,"14364144",
"1542","069080","웹젠","KOSDAQ","2021","12","디지털컨텐츠","0.1",,"500",,,,"35310884",
"1543","053580","웹케시","KOSDAQ","2021","12","금융","1.34",,"500","100","0.37","9.108","13786248","1353839900"
"1544","071460","위니아","KOSDAQ","2021","12","일반전기전자","0.23",,"500",,,,"35967295",
"1545","377460","위니아에이드","KOSDAQ","2021","12","-",,,,,,,,
"1546","044340","위닉스","KOSDAQ","2021","12","일반전기전자","0.23",,"500","500","2.5","39.654","17873425","7923717000"
"1547","330350","위더스제약","KOSDAQ","2021","12","제약","0.3",,"200","48","0.47","14.844","13188622","632935824"
"1548","348350","위드텍","KOSDAQ","2021","12","의료·정밀기기","0.32",,"500",,,,"10183600",
"1549","112040","위메이드","KOSDAQ","2021","12","디지털컨텐츠","0.1",,"500","650","0.37","6.958","33322268","21436806300"
"1550","101730","위메이드맥스","KOSDAQ","2021","12","디지털컨텐츠","0.1",,"500",,,,"15795635",
"1551","123420","위메이드플레이","KOSDAQ","2021","12","디지털컨텐츠","0.1",,"500",,,,"9569842",
"1552","065370","위세아이텍","KOSDAQ","2021","12","출판·매체복제","0.32",,"500","150","0.8","22.889","6575874","925413150"
"1553","140660","위월드","KONEX","2021","12","-",,,"500",,,,"2487252",
"1554","038620","위즈코프","KOSDAQ","2021","12","유통","0.36",,"500",,,,"63553440",
"1555","299900","위지윅스튜디오","KOSDAQ","2021","12","오락·문화","0.04",,"500",,,,"42732221",
"1556","036090","위지트","KOSDAQ","2021","12","기계·장비","0.53",,"500",,,,"90231385",
"1557","136540","윈스","KOSDAQ","2021","12","소프트웨어","0.32",,"500","500","3","33.245","12211663","6245799500"
"1558","320000","윈텍","KOSDAQ","2021","12","기계·장비","0.53",,"100",,,,"18499148",
"1559","097800","윈팩","KOSDAQ","2021","12","반도체","0.42",,"500",,,,"49667141",
"1560","192390","윈하이텍","KOSDAQ","2021","12","금속","0.87",,"500",,,,"10656896",
"1561","313760","윌링스","KOSDAQ","2021","12","일반전기전자","0.23",,"500","80","0.4","-134.27","4862000","397440000"
"1562","008600","윌비스","KOSPI","2021","12","유통업","1.59",,"1000",,,,"67016420",
"1563","900340","윙입푸드","KOSDAQ","2021","12","금융","1.34",,"무액면",,"0.74","3.735","47973428","487471393"
"1564","033270","유나이티드","KOSPI","2021","12","의약품","0.12",,"500","370","0.8","19.17","16244822","5492002130"
"1565","064510","유네코","KOSDAQ","2021","12","기계·장비","0.53",,"500",,,,"10117010",
"1566","014830","유니드","KOSPI","2021","12","화학","1.1",,"5000","1700","1.7","8.137","8889843","14844133100"
"1567","036200","유니셈","KOSDAQ","2021","12","반도체","0.42",,"500","120","0.86","9.251","30664223","3529926360"
"1568","018000","유니슨","KOSDAQ","2021","12","기계·장비","0.53",,"500",,,,"121769460",
"1569","000910","유니온","KOSPI","2021","12","비금속광물","1.8",,"500","125","1.7","18.811","15611619","1951452375"
"1570","047400","유니온머티리얼","KOSPI","2021","12","비금속광물","1.8",,"500","35","1.1","270.221","42000000","1470000000"
"1571","203450","유니온커뮤니티","KOSDAQ","2021","12","일반전기전자","0.23",,"500",,,,"14679007",
"1572","011330","유니켐","KOSPI","2021","12","기타제조업",,,"500","30","2.3","61.055","72688462","2153419320"
"1573","077500","유니퀘스트","KOSPI","2021","12","유통업","1.59",,"500","300","2.7","13.218","27342975","7983138300"
"1574","011320","유니크","KOSDAQ","2021","12","운송장비·부품","0.36",,"500",,,,"19320695",
"1575","086390","유니테스트","KOSDAQ","2021","12","반도체","0.42",,"500",,,,"21134126",
"1576","241690","유니테크노","KOSDAQ","2021","12","운송장비·부품","0.36",,"500",,,,"25011565",
"1577","142210","유니트론텍","KOSDAQ","2021","12","유통","0.36",,"500","75","1.2","17.779","12560930","916131825"
