번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
"1","095570","AJ네트웍스","KOSPI","2020","12","서비스업","0.68",,"1000","210","4.6","-296.433","46822295","9832681950"
"2","006840","AK홀딩스","KOSPI","2020","12","기타금융",,,"5000","400","1.63","-1.963","13247561","5218198000"
"3","054620","APS홀딩스","KOSDAQ","2020","12","금융","1.04",,"500",,,,"20394221",
"4","265520","AP시스템","KOSDAQ","2020","12","반도체","0.47",,"500","120","0.5","8.452","14480227","2108917920"
"5","211270","AP위성","KOSDAQ","2020","12","통신장비","0.28",,"500",,,,"15014804",
"6","027410","BGF","KOSPI","2020","12","기타금융",,,"1000","110","2.2","58.878","95716791","10527964370"
"7","282330","BGF리테일","KOSPI","2020","12","유통업","1.53",,"1000","2400","1.7","33.787","17283906","41460036000"
"8","032790","BNGT","KOSDAQ","2020","12","정보기기","0.9",,"500",,,,"19828799",
"9","138930","BNK금융지주","KOSPI","2020","12","기타금융",,,"5000","320","5.4","18.455","325935246","103818134080"
"10","001460","BYC","KOSPI","2020","12","섬유의복","1.59",,"5000","1100","0.39","5.078","624615","928550450"
"11","013720","CBI","KOSDAQ","2020","12","운송장비·부품","0.36",,"500",,,,"8178771",
"12","001040","CJ","KOSPI","2020","12","기타금융",,,"5000","2000","2.3","32.928","29176998","67174837150"
"13","079160","CJ CGV","KOSPI","2020","12","서비스업","0.68",,"500",,,,"35100000",
"14","035760","CJ ENM","KOSDAQ","2020","12","방송서비스","1.4",,"5000","1600","1.2","50.537","21929154","33167390400"
"15","311690","CJ 바이오사이언스","KOSDAQ","2020","12","기타서비스","0.48",,"500",,,,"3892348",
"16","000120","CJ대한통운","KOSPI","2020","12","운수창고업","0.57",,"5000",,,,"22812344",
"17","011150","CJ씨푸드","KOSPI","2020","12","음식료품","1.16",,"500",,,,"35930773",
"18","097950","CJ제일제당","KOSPI","2020","12","음식료품","1.16",,"5000","4000","1","8.158","15054186","64159067200"
"19","051500","CJ프레시웨이","KOSDAQ","2020","12","유통","0.18",,"1000",,,,"11871586",
"20","058820","CMG제약","KOSDAQ","2020","12","제약","0.2",,"500",,,,"138892244",
"21","023460","CNH","KOSDAQ","2020","12","금융","1.04",,"2500","50","2.2","5.907","37200000","1739069050"
"22","056730","CNT85","KOSDAQ","2020","12","유통","0.18",,"500",,,,"70703912",
"23","065770","CS","KOSDAQ","2020","12","통신장비","0.28",,"500",,,,"18835150",
"24","083660","CSA 코스믹","KOSDAQ","2020","12","화학","0.51",,"500",,,,"37072045",
"25","000590","CS홀딩스","KOSPI","2020","12","기타금융",,,"5000","500","0.9","4.847","1154482","573660500"
"26","012030","DB","KOSPI","2020","12","서비스업","0.68",,"500",,,,"201173933",
"27","367340","DB금융스팩8호","KOSDAQ","2020","12","금융","1.04",,"100",,,,"6050000",
"28","367360","DB금융스팩9호","KOSDAQ","2020","12","-",,,,,,,,
"29","016610","DB금융투자","KOSPI","2020","12","증권","3.13",,"5000","300","6.2","11.627","42446389","12428666700"
"30","005830","DB손해보험","KOSPI","2020","12","보험","3.27",,"500","2200","4.9","23.542","70800000","132095631800"
"31","000990","DB하이텍","KOSPI","2020","12","전기전자","1.4",,"5000","350","0.8","9.16","44398588","15207397600"
"32","139130","DGB금융지주","KOSPI","2020","12","기타금융",,,"5000","390","5.4","17.507","169145833","65966874480"
"33","000210","DL","KOSPI","2020","12","건설업","1.86",,"5000","1300","1.5","8.796","34800000","50370000000"
"34","001880","DL건설","KOSPI","2020","12","건설업","1.86",,"5000","550","1.87","12.141","22053284","18128585230"
"35","375500","DL이앤씨","KOSPI","2020","12","-",,,,,,,,
"36","068790","DMS","KOSDAQ","2020","12","기계·장비","0.53",,"500","100","1.2","6.034","24573061","2443926400"
"37","007340","DN오토모티브","KOSPI","2020","12","전기전자","1.4",,"500","2000","7.6","35.592","9994005","17236250000"
"38","004840","DRB동일","KOSPI","2020","12","기타금융",,,"500","50","0.7","15.374","19930000","963618200"
"39","241520","DSC인베스트먼트","KOSDAQ","2020","12","금융","1.04",,"500",,,,"18538829",
"40","155660","DSR","KOSPI","2020","12","철강금속","2.73",,"500","50","0.8","8.913","16000000","800000000"
"41","069730","DSR제강","KOSPI","2020","12","철강금속","2.73",,"500","40","0.83","10.911","14400000","576000000"
"42","017940","E1","KOSPI","2020","12","유통업","1.53",,"5000","2200","4.8","22.581","6860000","12719852200"
"43","245620","EDGC","KOSDAQ","2020","12","기타서비스","0.48",,"100",,,,"42914524",
"44","037370","EG","KOSDAQ","2020","12","유통","0.18",,"1000",,,,"7500000",
"45","278990","EMB","KONEX","2020","12","-",,,"500",,,,"3624222",
"46","050120","ES큐브","KOSDAQ","2020","12","유통","0.18",,"500",,,,"135640864",
"47","084180","EV수성","KOSDAQ","2020","12","기계·장비","0.53",,"500",,,,"17916714",
"48","383220","F&F","KOSPI","2020","12","-",,,,,,,,
"49","007700","F&F 홀딩스","KOSPI","2020","12","섬유의복","1.59",,"500","1000","1.2","17.948","15400000","15320104000"
"50","214270","FSN","KOSDAQ","2020","12","출판·매체복제","0.31",,"100",,,,"100876216",
"51","130500","GH신소재","KOSDAQ","2020","12","섬유·의류","0.56",,"500",,,,"11000000",
"52","114090","GKL","KOSPI","2020","12","서비스업","0.68",,"500",,,,"61855670",
"53","078930","GS","KOSPI","2020","12","기타금융",,,"5000","1900","5.1","-95.844","92915378","179971808700"
"54","083450","GST","KOSDAQ","2020","12","반도체","0.47",,"500","150","0.9","8.554","9317745","1325136750"
"55","006360","GS건설","KOSPI","2020","12","건설업","1.86",,"5000","1200","3.4","29.125","80178912","96018729600"
"56","001250","GS글로벌","KOSPI","2020","12","유통업","1.53",,"2500",,,,"82533764",
"57","007070","GS리테일","KOSPI","2020","12","유통업","1.53",,"1000","900","2.6","44.848","77000000","69300000000"
"58","297890","HB솔루션","KOSDAQ","2020","12","기계·장비","0.53",,"500",,,,"7109450",
"59","078150","HB테크놀러지","KOSDAQ","2020","12","기계·장비","0.53",,"500","20","0.9","184.409","78990426","1523216680"
"60","012630","HDC","KOSPI","2020","12","기타금융",,,"5000","250","2.3","7.163","59741721","13705516250"
"61","039570","HDC랩스","KOSPI","2020","12","건설업","1.86",,"500","400","3.9","38.508","16460000","6033835200"
"62","089470","HDC현대EP","KOSPI","2020","12","화학","0.94",,"500","140","2.2","29.332","31900000","4046000000"
"63","294870","HDC현대산업개발","KOSPI","2020","12","건설업","1.86",,"5000","600","2.4","17.955","65907330","39538716000"
