번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
"1","095570","AJ네트웍스","KOSPI","2017","12","서비스업","0.81",,"1000","86","1.2","19.503","46822295","4026717370"
"2","006840","AK홀딩스","KOSPI","2017","12","기타금융",,,"5000","650","1","4.521","13247561","8382071750"
"3","054620","APS홀딩스","KOSDAQ","2017","12","금융","0.75",,"500",,,"0.067","11930928","447235840"
"4","265520","AP시스템","KOSDAQ","2017","12","반도체","0.54",,"500",,,"2.317","13679033","442306880"
"5","211270","AP위성","KOSDAQ","2017","12","통신장비","0.26",,"500",,,,"15014804",
"6","027410","BGF","KOSPI","2017","12","유통업","0.9",,"1000","200","1.4","0.184","32263719","6451143000"
"7","282330","BGF리테일","KOSPI","2017","12","유통업","0.9",,"1000","1000","0.5","61.732","17283906","17275016000"
"8","032790","BNGT","KOSDAQ","2017","12","정보기기","0.75",,"500",,,,"14266629",
"9","138930","BNK금융지주","KOSPI","2017","12","기타금융",,,"5000","230","2.4","17.64","325935246","74961689930"
"10","001460","BYC","KOSPI","2017","12","섬유의복","1.04",,"5000","850","0.3","11.63","624615","719902450"
"11","013720","CBI","KOSDAQ","2017","12","운송장비·부품","0.9",,"500",,,,"8178771",
"12","001040","CJ","KOSPI","2017","12","기타금융",,,"5000","1450","0.8","3.638","29176998","41386522200"
"13","079160","CJ CGV","KOSPI","2017","12","서비스업","0.81",,"500","350","0.5","73.799","21161313","7406459550"
"14","035760","CJ ENM","KOSDAQ","2017","12","방송서비스","0.98",,"5000","3000","1.2","12.61","6215518","18087594000"
"15","311690","CJ 바이오사이언스","KOSDAQ","2017","12","-",,,,,,,,
"16","000120","CJ대한통운","KOSPI","2017","12","운수창고업","0.83",,"5000",,,,"22812344",
"17","011150","CJ씨푸드","KOSPI","2017","12","음식료품","0.89",,"500",,,,"35930773",
"18","097950","CJ제일제당","KOSPI","2017","12","음식료품","0.89",,"5000","3000","0.8","10.296","13176748","42503583250"
"19","051500","CJ프레시웨이","KOSDAQ","2017","12","유통","0.22",,"1000","200","0.5","196.225","11871586","2374317200"
"20","058820","CMG제약","KOSDAQ","2017","12","제약","0.14",,"500",,,,"108887244",
"21","023460","CNH","KOSDAQ","2017","12","금융","0.75",,"2500","20","1.5","25.705","37200000","742366340"
"22","056730","CNT85","KOSDAQ","2017","12","유통","0.22",,"500",,,,"36014118",
"23","065770","CS","KOSDAQ","2017","12","통신장비","0.26",,"500",,,,"18835150",
"24","083660","CSA 코스믹","KOSDAQ","2017","12","화학","0.65",,"500",,,,"19747641",
"25","000590","CS홀딩스","KOSPI","2017","12","기타금융",,,"5000","500","0.6","4.021","1154482","573660500"
"26","012030","DB","KOSPI","2017","12","서비스업","0.81",,"500",,,,"185935843",
"27","367340","DB금융스팩8호","KOSDAQ","2017","12","-",,,,,,,,
"28","367360","DB금융스팩9호","KOSDAQ","2017","12","-",,,,,,,,
"29","016610","DB금융투자","KOSPI","2017","12","증권","1.64",,"5000","100","2.5","26.954","42446389","4142888900"
"30","005830","DB손해보험","KOSPI","2017","12","보험","1.67",,"500","2300","3.2","21.755","70800000","145586182000"
"31","000990","DB하이텍","KOSPI","2017","12","전기전자","0.97",,"5000","250","2.1","9.951","44367832","10963680400"
"32","139130","DGB금융지주","KOSPI","2017","12","기타금융",,,"5000","340","3.2","19.03","169145833","57509583220"
"33","000210","DL","KOSPI","2017","12","건설업","0.89",,"5000","1000","1.2","7.636","34800000","38790000000"
"34","001880","DL건설","KOSPI","2017","12","건설업","0.89",,"5000",,,,"15179766",
"35","375500","DL이앤씨","KOSPI","2017","12","-",,,,,,,,
"36","068790","DMS","KOSDAQ","2017","12","기계·장비","0.59",,"500","50","0.8","29.698","22937487","1145737850"
"37","007340","DN오토모티브","KOSPI","2017","12","화학","1.4",,"500","700","2.2","11.426","9994005","6110129900"
"38","004840","DRB동일","KOSPI","2017","12","기타금융",,"0.026","500","100","1.3","9.588","19000000","1834236400"
"39","241520","DSC인베스트먼트","KOSDAQ","2017","12","금융","0.75",,"500",,,,"17500000",
"40","155660","DSR","KOSPI","2017","12","철강금속","1.85",,"500","50","1","7.253","16000000","800000000"
"41","069730","DSR제강","KOSPI","2017","12","철강금속","1.85",,"500","40","0.8","11.486","14400000","576000000"
"42","017940","E1","KOSPI","2017","12","유통업","0.9",,"5000","2000","3.5","13.328","6860000","11563502000"
"43","245620","EDGC","KOSDAQ","2017","12","-",,,,,,,,
"44","037370","EG","KOSDAQ","2017","12","유통","0.22",,"1000","50","0.46","-37.463","7500000","375000000"
"45","278990","EMB","KONEX","2017","12","-",,,"500",,,,"3410536",
"46","050120","ES큐브","KOSDAQ","2017","12","유통","0.22",,"500",,,,"83243054",
"47","084180","EV수성","KOSDAQ","2017","12","기계·장비","0.59",,"500",,,,"9424760",
"48","383220","F&F","KOSPI","2017","12","-",,,,,,,,
"49","007700","F&F 홀딩스","KOSPI","2017","12","섬유의복","1.04",,"500","650","1.55","13.367","15400000","10010000000"
"50","214270","FSN","KOSDAQ","2017","12","출판·매체복제","0.7",,"100",,,,"48071530",
"51","130500","GH신소재","KOSDAQ","2017","12","섬유·의류","0.15",,"500","90","2.74","43.081","11000000","990000000"
"52","114090","GKL","KOSPI","2017","12","서비스업","0.81",,"500","730","2.1","56.066","61855670","45154639100"
"53","078930","GS","KOSPI","2017","12","기타금융",,,"5000","1800","2.9","15.615","92915378","170504291600"
"54","083450","GST","KOSDAQ","2017","12","반도체","0.54",,"500","100","0.8","5.728","9317745","902574100"
"55","006360","GS건설","KOSPI","2017","12","건설업","0.89",,"5000","300","1.1","-12.873","71675237","21070786800"
"56","001250","GS글로벌","KOSPI","2017","12","유통업","0.9",,"2500","25","0.9","9.168","82533764","2062380050"
"57","007070","GS리테일","KOSPI","2017","12","유통업","0.9",,"1000","600","1.5","40.138","77000000","46200000000"
"58","297890","HB솔루션","KOSDAQ","2017","12","-",,,,,,,,
"59","078150","HB테크놀러지","KOSDAQ","2017","12","기계·장비","0.59",,"500","40","1.18","8.218","78990426","3104710400"
"60","012630","HDC","KOSPI","2017","12","건설업","0.89",,"5000","1000","2.6","16.942","75384180","70084180000"
"61","039570","HDC랩스","KOSPI","2017","12","건설업","0.89",,"500","250","1.7","17.32","16460000","4115000000"
"62","089470","HDC현대EP","KOSPI","2017","12","화학","1.4",,"500","120","1.8","11.945","31900000","3708000000"
"63","294870","HDC현대산업개발","KOSPI","2017","12","-",,,,,,,,
"64","267250","HD현대","KOSPI","2017","12","기타금융",,,"5000",,,,"16286617",
"65","097230","HJ중공업","KOSPI","2017","12","건설업","0.89",,"5000",,,,"106052508",
"66","195940","HK이노엔","KOSDAQ","2017","12","-",,,,,,,,
"67","028300","HLB","KOSDAQ","2017","12","운송장비·부품","0.9",,"500",,,,"36190078",
"68","003580","HLB글로벌","KOSPI","2017","12","광업",,,"500",,,,"19181100",
"69","343090","HLB사이언스","KONEX","2017","12","-",,,,,,,,
"70","067630","HLB생명과학","KOSDAQ","2017","12","기타서비스","0.43",,"500",,,,"26676909",
"71","047920","HLB제약","KOSDAQ","2017","12","기타서비스","0.43",,"500",,,,"12493171",
"72","115450","HLB테라퓨틱스","KOSDAQ","2017","12","소프트웨어","0.63",,"500",,,,"23081932",
"73","011200","HMM","KOSPI","2017","12","운수창고업","0.83",,"5000",,,,"311805827",
"74","036640","HRS","KOSDAQ","2017","12","화학","0.65",,"500","80","1.8","20.811","16354800","1308384000"
"75","082740","HSD엔진","KOSPI","2017","12","기계","1.26",,"1000",,,,"69500000",
"76","335870","IBKS제12호스팩","KOSDAQ","2017","12","-",,,,,,,,
"77","351340","IBKS제13호스팩","KOSDAQ","2017","12","-",,,,,,,,
"78","388790","IBKS제16호스팩","KOSDAQ","2017","12","-",,,,,,,,
"79","405350","IBKS제17호스팩","KOSDAQ","2017","12","-",,,,,,,,
"80","095340","ISC","KOSDAQ","2017","12","반도체","0.54","0.02","500","350","1.9","29.023","13602498","4678741900"
"81","099520","ITX-AI","KOSDAQ","2017","12","통신장비","0.26",,"500",,,,"16466131",
"82","175330","JB금융지주","KOSPI","2017","12","기타금융",,,"5000","100","1.6","5.78","155439423","15284641200"
"83","234080","JW생명과학","KOSPI","2017","12","의약품","0.25",,"5000","1000","2.42","47.174","7917277","7917277000"
"84","067290","JW신약","KOSDAQ","2017","12","제약","0.14",,"500","60","0.75","-39.87","40547810","2425701060"
"85","001060","JW중외제약","KOSPI","2017","12","의약품","0.25",,"2500","275","0.63","-784.51","19151237","5821061575"
"86","096760","JW홀딩스","KOSPI","2017","12","기타금융",,,"500","75","0.96","8.161","62020883","4641279150"
