,종목명,종목코드
0,금강철강,A053260
1,LS,A006260
2,현대건설,A000720
3,LF,A093050
4,NI스틸,A008260
5,삼천리,A004690
6,태경케미컬,A006890
7,노루페인트,A090350
8,SK텔레콤,A017670
9,대한제분,A001130
10,한화,A000880
11,고려산업,A002140
12,대상홀딩스,A084690
13,현대백화점,A069960
14,대동,A000490
15,유한양행,A000100
16,태경산업,A015890
17,유니드,A014830
18,대한제당,A001790
19,대정화금,A120240
20,한섬,A020000
21,세방전지,A004490
