종목명,종목코드
금강철강,A053260
LS,A006260
LF,A093050
NI스틸,A008260
삼천리,A004690
태경케미컬,A006890
노루페인트,A090350
SK텔레콤,A017670
대한제분,A001130
한화,A000880
고려산업,A002140
대상홀딩스,A084690
현대백화점,A069960
대동,A000490
유한양행,A000100
태경산업,A015890
유니드,A014830
대한제당,A001790
대정화금,A120240
한섬,A020000
세방전지,A004490
